filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Oracle VM VirtualBox Manager.png,Window,Oracle VM VirtualBox Manager,window,False,False,"[481,3]","[1451,597]"
Window-Create Virtual Machine.png,Window,Create Virtual Machine,window,False,True,"[655,18]","[1551,797]"
TitleBar-.png,TitleBar,,title bar,True,True,"[0,-220]","[0,-220]"
MenuBar-System.png,MenuBar,System,menu bar,True,False,"[437,-54]","[459,-32]"
MenuItem-System.png,MenuItem,System,menu item,True,False,"[437,-54]","[459,-32]"
Button-Context help.png,Button,Context help,button,False,True,"[1409,19]","[1480,63]"
Button-Close.png,Button,Close,button,False,False,"[1480,19]","[1551,63]"
Custom-.png,Custom,,,False,True,"[656,124]","[1550,796]"
Button-Create Enter.png,Button,Create Enter,button,False,False,"[1300,744]","[1412,778]"
Custom-.png,Custom,,,False,True,"[656,146]","[1550,718]"
Custom-.png,Custom,,,False,True,"[692,146]","[1550,718]"
Group-Name and operating system.png,Group,Name and operating system,group,False,False,"[704,158]","[1538,382]"
Custom-Name and operating system.png,Custom,Name and operating system,,False,False,"[718,192]","[1524,368]"
Text-Name:.png,Text,Name:,text,False,False,"[718,200]","[832,220]"
Edit-.png,Edit,,edit,False,True,"[840,192]","[1524,230]"
Text-Machine Folder:.png,Text,Machine Folder:,text,False,False,"[718,246]","[832,266]"
ToolBar-.png,ToolBar,,tool bar,False,True,"[840,238]","[1524,276]"
Edit-.png,Edit,,edit,False,True,"[878,244]","[1486,270]"
ComboBox- Down.png,ComboBox, Down,combo box,False,True,"[840,238]","[1524,276]"
List-.png,List,,list,True,True,"[0,-220]","[0,-220]"
ListItem-C:\Users\watas\VirtualBox VMs.png,ListItem,C:\Users\watas\VirtualBox VMs,list item,True,False,"[2,-218]","[172,-194]"
ListItem-Other....png,ListItem,Other...,list item,True,False,"[2,-194]","[172,-170]"
ListItem-Reset.png,ListItem,Reset,list item,True,False,"[2,-170]","[172,-146]"
Edit-.png,Edit,,edit,False,True,"[878,244]","[1486,270]"
Text-Type:.png,Text,Type:,text,False,False,"[718,292]","[832,312]"
ComboBox-Type: Down.png,ComboBox,Type: Down,combo box,False,True,"[840,284]","[1468,322]"
List-.png,List,,list,True,True,"[0,-220]","[0,-220]"
ListItem-Microsoft Windows.png,ListItem,Microsoft Windows,list item,True,False,"[0,-220]","[1280,-200]"
ListItem-Linux.png,ListItem,Linux,list item,True,False,"[0,-200]","[1280,-180]"
ListItem-Solaris.png,ListItem,Solaris,list item,True,False,"[0,-180]","[1280,-160]"
ListItem-BSD.png,ListItem,BSD,list item,True,False,"[0,-160]","[1280,-140]"
ListItem-IBM OS/2.png,ListItem,IBM OS/2,list item,True,False,"[0,-140]","[1280,-120]"
ListItem-Mac OS X.png,ListItem,Mac OS X,list item,True,False,"[0,-120]","[1280,-100]"
ListItem-Other.png,ListItem,Other,list item,True,False,"[0,-100]","[1280,-80]"
Text-Version:.png,Text,Version:,text,False,False,"[718,338]","[832,358]"
ComboBox-Version: Down.png,ComboBox,Version: Down,combo box,False,False,"[840,330]","[1468,368]"
List-.png,List,,list,True,True,"[0,-220]","[0,-220]"
ListItem-Windows 3.1.png,ListItem,Windows 3.1,list item,True,False,"[0,-220]","[1280,-200]"
ListItem-Windows 95.png,ListItem,Windows 95,list item,True,False,"[0,-200]","[1280,-180]"
ListItem-Windows 98.png,ListItem,Windows 98,list item,True,False,"[0,-180]","[1280,-160]"
ListItem-Windows ME.png,ListItem,Windows ME,list item,True,False,"[0,-160]","[1280,-140]"
ListItem-Windows NT 3.x.png,ListItem,Windows NT 3.x,list item,True,False,"[0,-140]","[1280,-120]"
ListItem-Windows NT 4.png,ListItem,Windows NT 4,list item,True,False,"[0,-120]","[1280,-100]"
ListItem-Windows 2000.png,ListItem,Windows 2000,list item,True,False,"[0,-100]","[1280,-80]"
ListItem-Windows XP (32-bit).png,ListItem,Windows XP (32-bit),list item,True,False,"[0,-80]","[1280,-60]"
ListItem-Windows XP (64-bit).png,ListItem,Windows XP (64-bit),list item,True,False,"[0,-60]","[1280,-40]"
ListItem-Windows 2003 (32-bit).png,ListItem,Windows 2003 (32-bit),list item,True,False,"[0,-40]","[1280,-20]"
ListItem-Windows 2003 (64-bit).png,ListItem,Windows 2003 (64-bit),list item,True,False,"[0,-20]","[1280,0]"
ListItem-Windows Vista (32-bit).png,ListItem,Windows Vista (32-bit),list item,False,False,"[0,0]","[1280,20]"
ListItem-Windows Vista (64-bit).png,ListItem,Windows Vista (64-bit),list item,False,False,"[0,20]","[1280,40]"
ListItem-Windows 2008 (32-bit).png,ListItem,Windows 2008 (32-bit),list item,False,False,"[0,40]","[1280,60]"
ListItem-Windows 2008 (64-bit).png,ListItem,Windows 2008 (64-bit),list item,False,False,"[0,60]","[1280,80]"
ListItem-Windows 7 (32-bit).png,ListItem,Windows 7 (32-bit),list item,False,False,"[0,80]","[1280,100]"
ListItem-Windows 7 (64-bit).png,ListItem,Windows 7 (64-bit),list item,False,False,"[0,100]","[1280,120]"
ListItem-Windows 8 (32-bit).png,ListItem,Windows 8 (32-bit),list item,False,False,"[0,120]","[1280,140]"
ListItem-Windows 8 (64-bit).png,ListItem,Windows 8 (64-bit),list item,False,False,"[0,140]","[1280,160]"
ListItem-Windows 8.1 (32-bit).png,ListItem,Windows 8.1 (32-bit),list item,False,False,"[0,160]","[1280,180]"
ListItem-Windows 8.1 (64-bit).png,ListItem,Windows 8.1 (64-bit),list item,False,False,"[0,180]","[1280,200]"
ListItem-Windows 2012 (64-bit).png,ListItem,Windows 2012 (64-bit),list item,False,False,"[0,200]","[1280,220]"
ListItem-Windows 10 (32-bit).png,ListItem,Windows 10 (32-bit),list item,False,False,"[0,220]","[1280,240]"
ListItem-Windows 10 (64-bit).png,ListItem,Windows 10 (64-bit),list item,False,False,"[0,240]","[1280,260]"
ListItem-Windows 2016 (64-bit).png,ListItem,Windows 2016 (64-bit),list item,False,False,"[0,260]","[1280,280]"
ListItem-Other Windows (32-bit).png,ListItem,Other Windows (32-bit),list item,False,False,"[0,280]","[1280,300]"
ListItem-Other Windows (64-bit).png,ListItem,Other Windows (64-bit),list item,False,False,"[0,300]","[1280,320]"
Image-.png,Image,,image,False,False,"[1476,284]","[1524,332]"
Group-Memory size Alt+M.png,Group,Memory size Alt+M,group,False,False,"[704,390]","[1538,504]"
Custom-Memory size Alt+M.png,Custom,Memory size Alt+M,,False,False,"[718,426]","[1394,458]"
Slider-.png,Slider,,slider,False,False,"[718,426]","[1394,458]"
Spinner-Memory size Alt+M.png,Spinner,Memory size Alt+M,spinner,False,False,"[1402,424]","[1494,462]"
Text-MB Alt+M.png,Text,MB Alt+M,text,False,False,"[1502,432]","[1524,452]"
Text-4 MB Alt+M.png,Text,4 MB Alt+M,text,False,False,"[718,470]","[754,490]"
Text-8192 MB Alt+M.png,Text,8192 MB Alt+M,text,False,False,"[1332,470]","[1394,490]"
Group-Hard disk.png,Group,Hard disk,group,False,False,"[704,512]","[1538,706]"
RadioButton-Do not add a virtual hard disk Alt+D.png,RadioButton,Do not add a virtual hard disk Alt+D,radio button,False,False,"[718,546]","[964,574]"
RadioButton-Create a virtual hard disk now Alt+C.png,RadioButton,Create a virtual hard disk now Alt+C,radio button,False,False,"[718,582]","[964,610]"
RadioButton-Use an existing virtual hard disk file Alt+U.png,RadioButton,Use an existing virtual hard disk file Alt+U,radio button,False,False,"[718,618]","[1004,646]"
ComboBox-Hard disk Down.png,ComboBox,Hard disk Down,combo box,False,False,"[746,654]","[1478,692]"
List-.png,List,,list,True,True,"[0,-220]","[0,-220]"
ListItem-Empty.png,ListItem,Empty,list item,True,False,"[2,-218]","[198,-198]"
Button-Hard disk.png,Button,Hard disk,button,False,False,"[1486,654]","[1524,690]"
Button-Cancel.png,Button,Cancel,button,False,False,"[1420,744]","[1532,778]"
Button-Guided Mode Alt+G.png,Button,Guided Mode Alt+G,button,False,False,"[1180,744]","[1292,778]"
Button-.png,Button,,button,False,True,"[656,72]","[704,120]"
TitleBar-.png,TitleBar,,title bar,False,True,"[506,6]","[1450,48]"
MenuBar-System.png,MenuBar,System,menu bar,True,False,"[321,-64]","[343,-42]"
MenuItem-System.png,MenuItem,System,menu item,True,False,"[321,-64]","[343,-42]"
Button-Minimise.png,Button,Minimise,button,False,True,"[1239,4]","[1310,48]"
Button-Maximise.png,Button,Maximise,button,False,False,"[1310,4]","[1380,48]"
Button-Close.png,Button,Close,button,False,False,"[1380,4]","[1451,48]"
MenuBar-.png,MenuBar,,menu bar,False,True,"[482,48]","[1450,84]"
MenuItem-File Alt+F.png,MenuItem,File Alt+F,menu item,False,True,"[482,48]","[542,82]"
MenuItem-Machine Alt+M.png,MenuItem,Machine Alt+M,menu item,False,True,"[542,48]","[642,82]"
MenuItem-Help Alt+H.png,MenuItem,Help Alt+H,menu item,False,True,"[642,48]","[712,82]"
Custom-.png,Custom,,,False,True,"[482,84]","[1450,596]"
SplitButton-.png,SplitButton,,split button,False,True,"[482,84]","[1450,596]"
Custom-.png,Custom,,,False,True,"[692,84]","[1450,596]"
ToolBar-.png,ToolBar,,tool bar,False,True,"[692,84]","[1450,172]"
Button-Preferences.png,Button,Preferences,button,False,True,"[692,84]","[802,172]"
Custom-.png,Custom,,,False,True,"[802,84]","[810,172]"
Button-Import.png,Button,Import,button,False,True,"[810,84]","[886,172]"
Button-Export.png,Button,Export,button,False,True,"[886,84]","[958,172]"
Custom-.png,Custom,,,False,True,"[958,84]","[966,172]"
Button-New.png,Button,New,button,False,True,"[966,84]","[1028,172]"
Button-Add.png,Button,Add,button,False,True,"[1028,84]","[1090,172]"
Pane-.png,Pane,,pane,False,True,"[692,172]","[1450,596]"
Custom-.png,Custom,,,False,True,"[692,172]","[1450,596]"
Custom-.png,Custom,,,False,True,"[692,172]","[1450,596]"
"Text-Welcome to VirtualBox!
The left part of application window contains global tools and lists all virtual machines and virtual machine groups on your computer. You can import, add and create new VMs using corresponding toolbar buttons. You can popup a tools of currently selected element using corresponding element button.
You can press the F1 key to get instant help, or visit www.virtualbox.org for more information and latest news..png",Text,"Welcome to VirtualBox!
The left part of application window contains global tools and lists all virtual machines and virtual machine groups on your computer. You can import, add and create new VMs using corresponding toolbar buttons. You can popup a tools of currently selected element using corresponding element button.
You can press the F1 key to get instant help, or visit www.virtualbox.org for more information and latest news.",text,False,True,"[710,184]","[1030,584]"
Image-.png,Image,,image,False,True,"[1038,184]","[1438,584]"
Custom-.png,Custom,,,False,True,"[482,84]","[690,596]"
List-.png,List,,list,False,True,"[482,84]","[690,596]"
ListItem-Tools.png,ListItem,Tools,list item,False,True,"[482,84]","[690,172]"
Thumb-.png,Thumb,,thumb,False,False,"[686,84]","[696,596]"
