filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Word.png,Window,Word,window,False,False,"[0,0]","[1942,1042]"
Window-Word Options.png,Window,Word Options,window,False,True,"[341,11]","[1601,1031]"
Pane-.png,Pane,,Pane,False,True,"[343,56]","[1599,1029]"
Group-Word Options.png,Group,Word Options,Group,False,True,"[343,56]","[1599,1029]"
List-Categories.png,List,Categories,List,False,True,"[352,67]","[555,976]"
ListItem-General.png,ListItem,General,List Item,False,False,"[353,68]","[554,109]"
ListItem-Display.png,ListItem,Display,List Item,False,False,"[353,109]","[554,150]"
ListItem-Proofing.png,ListItem,Proofing,List Item,False,False,"[353,150]","[554,191]"
ListItem-Save.png,ListItem,Save,List Item,False,False,"[353,191]","[554,232]"
ListItem-Language.png,ListItem,Language,List Item,False,False,"[353,232]","[554,273]"
ListItem-Ease of Access.png,ListItem,Ease of Access,List Item,False,False,"[353,273]","[554,314]"
ListItem-Advanced.png,ListItem,Advanced,List Item,False,False,"[353,314]","[554,358]"
ListItem-Customize Ribbon.png,ListItem,Customize Ribbon,List Item,False,False,"[353,358]","[554,399]"
ListItem-Quick Access Toolbar.png,ListItem,Quick Access Toolbar,List Item,False,False,"[353,399]","[554,443]"
ListItem-Add-ins.png,ListItem,Add-ins,List Item,False,False,"[353,443]","[554,484]"
ListItem-Trust Center.png,ListItem,Trust Center,List Item,False,False,"[353,484]","[554,525]"
Pane-Add-ins.png,Pane,Add-ins,Pane,False,False,"[564,67]","[1590,976]"
Text-View and manage Microsoft Office Add-ins..png,Text,View and manage Microsoft Office Add-ins.,Text,False,False,"[651,72]","[1589,128]"
Text-Add-ins.png,Text,Add-ins,Text,False,False,"[584,151]","[1570,188]"
DataGrid-Add-ins.png,DataGrid,Add-ins,Data Grid,False,False,"[603,202]","[1570,686]"
Header-Header.png,Header,Header,Header,False,False,"[604,203]","[1569,234]"
HeaderItem-Name Sorted ascending.png,HeaderItem,Name Sorted ascending,Header Item,False,False,"[604,203]","[1034,234]"
HeaderItem-Location.png,HeaderItem,Location,Header Item,False,False,"[1034,203]","[1464,234]"
HeaderItem-Type.png,HeaderItem,Type,Header Item,False,False,"[1464,203]","[1569,234]"
DataItem-Active Application Add-ins.png,DataItem,Active Application Add-ins,Data Item,False,False,"[604,234]","[1569,261]"
DataItem-Active Application Add-ins.png,DataItem,Active Application Add-ins,Data Item,False,False,"[604,234]","[836,261]"
DataItem- .png,DataItem, ,Data Item,False,False,"[1034,234]","[1450,261]"
Text- .png,Text, ,Text,False,False,"[1035,235]","[1042,260]"
DataItem- .png,DataItem, ,Data Item,False,False,"[1464,234]","[1473,261]"
DataItem-Name: Date (XML). Location: C:\Program Files\Common Files\Microsoft Shared\Smart Tag\MOFL.DLL. Type: Action.png,DataItem,Name: Date (XML). Location: C:\Program Files\Common Files\Microsoft Shared\Smart Tag\MOFL.DLL. Type: Action,Data Item,False,False,"[604,261]","[1569,288]"
DataItem-Date (XML).png,DataItem,Date (XML),Data Item,False,False,"[604,261]","[695,288]"
DataItem-C:\Program Files\Common Files\Microsoft Shared\Smart Tag\MOFL.DLL.png,DataItem,C:\Program Files\Common Files\Microsoft Shared\Smart Tag\MOFL.DLL,Data Item,False,False,"[1034,261]","[1450,288]"
Text-C:\Program Files\Common Files\Microsoft Shared\Smart Tag\MOFL.DLL.png,Text,C:\Program Files\Common Files\Microsoft Shared\Smart Tag\MOFL.DLL,Text,False,False,"[1035,262]","[1443,287]"
DataItem-Action.png,DataItem,Action,Data Item,False,False,"[1464,261]","[1519,288]"
DataItem-Name: Instant Messaging Contacts (English). Location: C:\Program Files\Common Files\Microsoft Shared\Smart Tag\IMCONTACT.DLL. Type: Action.png,DataItem,Name: Instant Messaging Contacts (English). Location: C:\Program Files\Common Files\Microsoft Shared\Smart Tag\IMCONTACT.DLL. Type: Action,Data Item,False,False,"[604,288]","[1569,315]"
DataItem-Instant Messaging Contacts (English).png,DataItem,Instant Messaging Contacts (English),Data Item,False,False,"[604,288]","[898,315]"
DataItem-C:\Program Files\Common Files\Microsoft Shared\Smart Tag\IMCONTACT.DLL.png,DataItem,C:\Program Files\Common Files\Microsoft Shared\Smart Tag\IMCONTACT.DLL,Data Item,False,False,"[1034,288]","[1450,315]"
Text-C:\Program Files\Common Files\Microsoft Shared\Smart Tag\IMCONTACT.DLL.png,Text,C:\Program Files\Common Files\Microsoft Shared\Smart Tag\IMCONTACT.DLL,Text,False,False,"[1035,289]","[1443,314]"
DataItem-Action.png,DataItem,Action,Data Item,False,False,"[1464,288]","[1519,315]"
DataItem-Name: Measurement Converter (Measurement Converter). Location: C:\Program Files\Common Files\Microsoft Shared\Smart Tag\METCONV.DLL. Type: Action.png,DataItem,Name: Measurement Converter (Measurement Converter). Location: C:\Program Files\Common Files\Microsoft Shared\Smart Tag\METCONV.DLL. Type: Action,Data Item,False,False,"[604,315]","[1569,342]"
DataItem-Measurement Converter (Measurement Converter).png,DataItem,Measurement Converter (Measurement Converter),Data Item,False,False,"[604,315]","[1003,342]"
DataItem-C:\Program Files\Common Files\Microsoft Shared\Smart Tag\METCONV.DLL.png,DataItem,C:\Program Files\Common Files\Microsoft Shared\Smart Tag\METCONV.DLL,Data Item,False,False,"[1034,315]","[1450,342]"
Text-C:\Program Files\Common Files\Microsoft Shared\Smart Tag\METCONV.DLL.png,Text,C:\Program Files\Common Files\Microsoft Shared\Smart Tag\METCONV.DLL,Text,False,False,"[1035,316]","[1443,341]"
DataItem-Action.png,DataItem,Action,Data Item,False,False,"[1464,315]","[1519,342]"
DataItem-Name: Telephone Number (XML). Location: C:\Program Files\Common Files\Microsoft Shared\Smart Tag\MOFL.DLL. Type: Action.png,DataItem,Name: Telephone Number (XML). Location: C:\Program Files\Common Files\Microsoft Shared\Smart Tag\MOFL.DLL. Type: Action,Data Item,False,False,"[604,342]","[1569,369]"
DataItem-Telephone Number (XML).png,DataItem,Telephone Number (XML),Data Item,False,False,"[604,342]","[810,369]"
DataItem-C:\Program Files\Common Files\Microsoft Shared\Smart Tag\MOFL.DLL.png,DataItem,C:\Program Files\Common Files\Microsoft Shared\Smart Tag\MOFL.DLL,Data Item,False,False,"[1034,342]","[1450,369]"
Text-C:\Program Files\Common Files\Microsoft Shared\Smart Tag\MOFL.DLL.png,Text,C:\Program Files\Common Files\Microsoft Shared\Smart Tag\MOFL.DLL,Text,False,False,"[1035,343]","[1443,368]"
DataItem-Action.png,DataItem,Action,Data Item,False,False,"[1464,342]","[1519,369]"
