filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Untitled - Paint.png,Window,Untitled - Paint,window,False,False,"[10,2]","[227,41]"
Pane-UIRibbonDockTop.png,Pane,UIRibbonDockTop,pane,False,False,"[0,47]","[1514,220]"
Pane-Ribbon.png,Pane,Ribbon,pane,False,False,"[0,47]","[1514,220]"
Pane-Ribbon.png,Pane,Ribbon,pane,False,False,"[0,47]","[1514,220]"
Pane-.png,Pane,,pane,False,True,"[0,47]","[1514,267]"
Pane-Ribbon.png,Pane,Ribbon,pane,False,True,"[0,0]","[1514,220]"
ToolBar-Quick Access Toolbar.png,ToolBar,Quick Access Toolbar,tool bar,False,True,"[56,8]","[184,40]"
Button-Save.png,Button,Save,button,False,True,"[56,6]","[88,40]"
Button-Undo.png,Button,Undo,button,False,False,"[88,6]","[120,40]"
Button-Redo.png,Button,Redo,button,False,False,"[120,6]","[152,40]"
Button-Print.png,Button,Print,button,False,False,"[152,6]","[184,40]"
Button-Customise Quick Access Toolbar.png,Button,Customise Quick Access Toolbar,button,False,False,"[185,8]","[204,41]"
Button-File tab.png,Button,File tab,button,False,False,"[0,47]","[84,81]"
Tab-Ribbon tabs.png,Tab,Ribbon tabs,tab,False,False,"[84,47]","[1450,81]"
Custom-.png,Custom,,,False,False,"[84,47]","[1450,81]"
TabItem-Home.png,TabItem,Home,tab item,False,False,"[84,47]","[166,81]"
TabItem-View.png,TabItem,View,tab item,False,False,"[167,47]","[241,81]"
Button-Minimise the Ribbon.png,Button,Minimise the Ribbon,button,False,False,"[1450,48]","[1482,80]"
Button-Help.png,Button,Help,button,False,False,"[1482,48]","[1514,80]"
Pane-Lower Ribbon.png,Pane,Lower Ribbon,pane,False,False,"[0,81]","[1514,220]"
Custom-.png,Custom,,,False,False,"[0,81]","[1514,220]"
Custom-Home.png,Custom,Home,,False,False,"[0,81]","[1514,220]"
ToolBar-Clipboard.png,ToolBar,Clipboard,tool bar,False,False,"[6,85]","[154,219]"
Group-Paste.png,Group,Paste,group,False,False,"[9,88]","[71,187]"
SplitButton-Paste.png,SplitButton,Paste,split button,False,False,"[9,88]","[71,144]"
SplitButton-Paste.png,SplitButton,Paste,split button,False,False,"[9,144]","[71,187]"
Button-Cut.png,Button,Cut,button,False,False,"[71,88]","[132,120]"
Button-Copy.png,Button,Copy,button,False,False,"[71,120]","[144,152]"
ToolBar-Image.png,ToolBar,Image,tool bar,False,False,"[156,85]","[325,219]"
Group-Select.png,Group,Select,group,False,False,"[159,88]","[221,187]"
SplitButton-Select.png,SplitButton,Select,split button,False,False,"[159,88]","[221,144]"
SplitButton-Select.png,SplitButton,Select,split button,False,False,"[159,144]","[221,187]"
Button-Crop.png,Button,Crop,button,False,False,"[221,88]","[292,120]"
Button-Resize.png,Button,Resize,button,False,False,"[221,120]","[302,152]"
SplitButton-Rotate.png,SplitButton,Rotate,split button,False,False,"[221,152]","[315,184]"
ToolBar-Tools.png,ToolBar,Tools,tool bar,False,False,"[327,85]","[442,219]"
Button-Pencil.png,Button,Pencil,button,False,False,"[330,100]","[364,132]"
Button-Fill with colour.png,Button,Fill with colour,button,False,False,"[364,100]","[400,132]"
Button-Text.png,Button,Text,button,False,False,"[400,100]","[432,132]"
Button-Rubber.png,Button,Rubber,button,False,False,"[330,144]","[364,176]"
Button-Colour picker.png,Button,Colour picker,button,False,False,"[364,144]","[400,176]"
Button-Magnifier.png,Button,Magnifier,button,False,False,"[400,144]","[432,176]"
ToolBar-.png,ToolBar,,tool bar,False,False,"[444,85]","[519,219]"
Group-Brushes.png,Group,Brushes,group,False,False,"[447,88]","[509,186]"
SplitButton-Brushes.png,SplitButton,Brushes,split button,False,False,"[447,88]","[509,144]"
Button-Brushes.png,Button,Brushes,button,False,False,"[447,144]","[509,186]"
ToolBar-Shapes.png,ToolBar,Shapes,tool bar,False,False,"[521,85]","[813,219]"
Group-Shapes.png,Group,Shapes,group,False,False,"[524,88]","[703,182]"
List-Shapes.png,List,Shapes,list,False,False,"[525,92]","[677,182]"
Custom-.png,Custom,,,False,False,"[526,92]","[676,182]"
ListItem-Line.png,ListItem,Line,list item,False,False,"[526,92]","[556,122]"
