filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Oracle VM VirtualBox Manager.png,Window,Oracle VM VirtualBox Manager,window,False,False,"[481,223]","[1451,817]"
Window-Select a virtual machine file.png,Window,Select a virtual machine file,dialogue,False,True,"[492,176]","[1432,886]"
Pane-.png,Pane,,pane,False,True,"[493,280]","[1431,760]"
ToolBar-Command Module.png,ToolBar,Command Module,tool bar,False,True,"[493,280]","[1431,329]"
Button-&Help.png,Button,&Help,button,False,False,"[1375,283]","[1417,324]"
CheckBox-Preview pane.png,CheckBox,Preview pane,checkbox,False,True,"[1321,283]","[1363,324]"
SplitButton-Views.png,SplitButton,Views,split button,False,False,"[1244,283]","[1321,324]"
Button-View Slider.png,Button,View Slider,button,False,False,"[1285,283]","[1306,324]"
Button-Organise.png,Button,Organise,button,False,False,"[498,283]","[630,324]"
Button-New folder.png,Button,New folder,button,False,False,"[630,283]","[763,324]"
Pane-Control Host.png,Pane,Control Host,pane,False,True,"[493,329]","[727,760]"
Tree-Tree View.png,Tree,Tree View,tree,False,True,"[493,329]","[727,760]"
ScrollBar-Vertical.png,ScrollBar,Vertical,scroll bar,False,False,"[701,329]","[727,760]"
Button-Line up.png,Button,Line up,button,False,False,"[701,329]","[727,355]"
Thumb-Position.png,Thumb,Position,thumb,False,False,"[701,355]","[727,677]"
Button-Page down.png,Button,Page down,button,False,False,"[701,677]","[727,734]"
Button-Line down.png,Button,Line down,button,False,False,"[701,734]","[727,760]"
TreeItem-Quick access.png,TreeItem,Quick access,tree item,False,True,"[556,353]","[660,389]"
TreeItem-Desktop (pinned).png,TreeItem,Desktop (pinned),tree item,False,True,"[568,389]","[639,425]"
TreeItem-Downloads (pinned).png,TreeItem,Downloads (pinned),tree item,False,True,"[568,425]","[662,461]"
TreeItem-Documents (pinned).png,TreeItem,Documents (pinned),tree item,False,True,"[568,461]","[663,497]"
TreeItem-Pictures (pinned).png,TreeItem,Pictures (pinned),tree item,False,True,"[568,497]","[633,533]"
TreeItem-(old)gui_test-master.png,TreeItem,(old)gui_test-master,tree item,False,True,"[568,533]","[701,569]"
TreeItem-screens_temp.png,TreeItem,screens_temp,tree item,False,True,"[568,569]","[679,605]"
TreeItem-Win GUI Crawler.png,TreeItem,Win GUI Crawler,tree item,False,True,"[568,605]","[700,641]"
TreeItem-Win GUI Crawler.png,TreeItem,Win GUI Crawler,tree item,False,True,"[568,641]","[700,677]"
TreeItem-Desktop.png,TreeItem,Desktop,tree item,False,True,"[0,0]","[0,0]"
TreeItem-OneDrive.png,TreeItem,OneDrive,tree item,False,True,"[556,689]","[634,725]"
TreeItem-This PC.png,TreeItem,This PC,tree item,False,True,"[556,737]","[617,760]"
TreeItem-Network.png,TreeItem,Network,tree item,True,True,"[0,0]","[0,0]"
Image-Thumbnail Module.png,Image,Thumbnail Module,image,False,False,"[1068,335]","[1425,754]"
Text-Select a file to preview..png,Text,Select a file to preview.,text,False,False,"[1143,532]","[1329,557]"
Pane-Shell Folder View.png,Pane,Shell Folder View,pane,False,True,"[733,329]","[1036,760]"
