filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Word.png,Window,Word,window,False,False,"[0,0]","[1942,1042]"
Window-Accounts.png,Window,Accounts,window,False,False,"[623,94]","[1319,949]"
Pane-.png,Pane,,Pane,False,False,"[625,139]","[1317,947]"
Custom-Accounts.png,Custom,Accounts,Custom Control,False,False,"[625,139]","[1317,947]"
Pane-Choose sign in type.png,Pane,Choose sign in type,Pane,False,False,"[625,139]","[1317,947]"
Pane-.png,Pane,,pane,False,False,"[625,139]","[1317,947]"
Pane-.png,Pane,,pane,False,False,"[625,139]","[1317,947]"
Pane-https://odc.officeapps.live.com/odc/v2.1/hrd?lcid=1033&syslcid=8192&uilcid=1033&app=0&ver=16&build=16.0.14228&p=0&a=1&hm=0&sp=0&fpEnabled=1.png,Pane,https://odc.officeapps.live.com/odc/v2.1/hrd?lcid=1033&syslcid=8192&uilcid=1033&app=0&ver=16&build=16.0.14228&p=0&a=1&hm=0&sp=0&fpEnabled=1,pane,False,False,"[625,139]","[1317,947]"
Pane-Sign in.png,Pane,Sign in,pane,False,False,"[625,139]","[1317,140]"
Text-Sign in.png,Text,Sign in,text,False,False,"[704,272]","[816,314]"
"Edit-Email, phone, or Skype.png",Edit,"Email, phone, or Skype",edit,False,False,"[707,338]","[1235,392]"
HyperLink-Create a Microsoft account.png,HyperLink,Create a Microsoft account,link,False,False,"[820,418]","[919,444]"
Text-Create one!.png,Text,Create one!,text,False,False,"[820,416]","[919,446]"
Button-Next.png,Button,Next,button,False,False,"[1076,532]","[1238,580]"
Text-©2021 Microsoft.png,Text,©2021 Microsoft,text,False,False,"[637,905]","[772,947]"
HyperLink-Privacy statement.png,HyperLink,Privacy statement,link,False,False,"[796,905]","[936,947]"
Text-Privacy statement.png,Text,Privacy statement,text,False,False,"[796,905]","[936,947]"
TitleBar-.png,TitleBar,,title bar,False,False,"[634,105]","[1308,139]"
Button-Close.png,Button,Close,button,False,False,"[1274,104]","[1309,139]"
Pane-.png,Pane,,pane,False,True,"[11,11]","[1931,1031]"
Pane-.png,Pane,,Pane,False,True,"[11,11]","[1931,1031]"
Pane-.png,Pane,,Pane,False,False,"[11,66]","[221,1031]"
List-File.png,List,File,List,False,False,"[11,66]","[221,1031]"
ListItem-Home.png,ListItem,Home,List Item,False,False,"[11,134]","[221,326]"
ListItem-New.png,ListItem,New,List Item,False,False,"[11,326]","[221,518]"
ListItem-Open.png,ListItem,Open,List Item,False,False,"[11,518]","[221,710]"
ListItem-Account.png,ListItem,Account,List Item,False,False,"[11,824]","[221,885]"
ListItem-Feedback.png,ListItem,Feedback,List Item,False,False,"[11,885]","[221,946]"
ListItem-Options.png,ListItem,Options,List Item,False,False,"[11,946]","[221,1007]"
TitleBar-Word.png,TitleBar,Word,Title Bar,False,True,"[221,11]","[1372,62]"
MenuItem-Marko Savic.png,MenuItem,Marko Savic,Menu Item,False,True,"[1372,11]","[1559,58]"
Image-Marko Savic.png,Image,Marko Savic,Image,False,True,"[1505,16]","[1541,52]"
Button-Help.png,Button,Help,Button,False,True,"[1655,11]","[1724,58]"
Button-Minimize.png,Button,Minimize,Button,False,True,"[1724,11]","[1793,58]"
Button-Restore Down.png,Button,Restore Down,Button,False,False,"[1793,11]","[1862,58]"
Button-Close.png,Button,Close,Button,False,True,"[1862,11]","[1931,58]"
Pane-Backstage view.png,Pane,Backstage view,Pane,False,True,"[221,67]","[1931,1031]"
Group-Home.png,Group,Home,Group,False,True,"[221,67]","[1931,1031]"
Pane-.png,Pane,,Pane,False,True,"[221,67]","[1931,136]"
Text-Good afternoon.png,Text,Good afternoon,Text,False,False,"[281,78]","[517,123]"
ScrollBar-.png,ScrollBar,,ScrollBar,False,False,"[1905,67]","[1931,135]"
Pane-Home.png,Pane,Home,Pane,False,True,"[221,136]","[1931,1031]"
Group-New.png,Group,New,Group,False,True,"[221,136]","[1845,218]"
Button-Hide or show region.png,Button,Hide or show region,Button,False,False,"[239,159]","[275,195]"
Button-New blank document.png,Button,New blank document,Button,False,False,"[281,154]","[519,200]"
Group-Search.png,Group,Search,Group,False,True,"[221,218]","[1845,284]"
Edit-Search.png,Edit,Search,edit,False,True,"[377,245]","[977,275]"
Group-Open.png,Group,Open,Group,False,True,"[221,296]","[1845,471]"
Tab-.png,Tab,,Pane,False,True,"[281,314]","[1845,362]"
TabItem-Recent.png,TabItem,Recent,Tab Item,False,False,"[281,314]","[375,362]"
TabItem-Pinned.png,TabItem,Pinned,Tab Item,False,False,"[375,314]","[483,362]"
TabItem-Shared with Me.png,TabItem,Shared with Me,Tab Item,False,True,"[483,314]","[666,362]"
Text-You haven't opened any documents recently. Click Open to browse for a document..png,Text,You haven't opened any documents recently. Click Open to browse for a document.,Text,False,True,"[281,380]","[944,405]"
List-Recent.png,List,Recent,List,True,True,"[11,11]","[11,11]"
HyperLink-More documents.png,HyperLink,More documents,Hyperlink,False,False,"[1664,428]","[1845,453]"
ScrollBar-.png,ScrollBar,,ScrollBar,False,False,"[1905,136]","[1931,1031]"
Pane-.png,Pane,,pane,False,True,"[536,160]","[1931,998]"
TitleBar-.png,TitleBar,,title bar,False,True,"[44,11]","[1931,45]"
MenuBar-System.png,MenuBar,System,menu bar,False,False,"[11,11]","[33,33]"
MenuItem-System.png,MenuItem,System,menu item,False,False,"[11,11]","[33,33]"
Button-Minimise.png,Button,Minimise,button,False,True,"[1831,10]","[1866,45]"
Button-Restore.png,Button,Restore,button,False,False,"[1864,10]","[1899,45]"
Button-Close.png,Button,Close,button,False,False,"[1897,10]","[1932,45]"
