filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Oracle VM VirtualBox Manager.png,Window,Oracle VM VirtualBox Manager,window,False,False,"[481,223]","[1451,817]"
Window-Import Virtual Appliance.png,Window,Import Virtual Appliance,window,False,True,"[361,44]","[1571,1033]"
Window-Please choose a virtual appliance file to import.png,Window,Please choose a virtual appliance file to import,dialogue,False,False,"[372,44]","[1312,754]"
Pane-.png,Pane,,pane,False,False,"[373,148]","[1311,628]"
ToolBar-Command Module.png,ToolBar,Command Module,tool bar,False,False,"[373,148]","[1311,197]"
Button-&Help.png,Button,&Help,button,False,False,"[1255,151]","[1297,192]"
CheckBox-Preview pane.png,CheckBox,Preview pane,checkbox,False,False,"[1201,151]","[1243,192]"
SplitButton-Views.png,SplitButton,Views,split button,False,False,"[1124,151]","[1201,192]"
Button-View Slider.png,Button,View Slider,button,False,False,"[1165,151]","[1186,192]"
Button-Organise.png,Button,Organise,button,False,False,"[378,151]","[510,192]"
Button-New folder.png,Button,New folder,button,False,False,"[510,151]","[643,192]"
Pane-Control Host.png,Pane,Control Host,pane,False,False,"[373,197]","[607,628]"
Tree-Tree View.png,Tree,Tree View,tree,False,False,"[373,197]","[607,628]"
ScrollBar-Vertical.png,ScrollBar,Vertical,scroll bar,False,False,"[581,197]","[607,628]"
Button-Line up.png,Button,Line up,button,False,False,"[581,197]","[607,223]"
Button-Page up.png,Button,Page up,button,False,False,"[581,223]","[607,261]"
Thumb-Position.png,Thumb,Position,thumb,False,False,"[581,261]","[607,583]"
Button-Page down.png,Button,Page down,button,False,False,"[581,583]","[607,602]"
Button-Line down.png,Button,Line down,button,False,False,"[581,602]","[607,628]"
TreeItem-Quick access.png,TreeItem,Quick access,tree item,True,True,"[0,0]","[0,0]"
TreeItem-Desktop (pinned).png,TreeItem,Desktop (pinned),tree item,False,False,"[448,197]","[519,233]"
TreeItem-Downloads (pinned).png,TreeItem,Downloads (pinned),tree item,False,False,"[448,233]","[542,269]"
TreeItem-Documents (pinned).png,TreeItem,Documents (pinned),tree item,False,False,"[448,269]","[543,305]"
TreeItem-Pictures (pinned).png,TreeItem,Pictures (pinned),tree item,False,False,"[448,305]","[513,341]"
TreeItem-(old)gui_test-master.png,TreeItem,(old)gui_test-master,tree item,False,False,"[448,341]","[581,377]"
TreeItem-screens_temp.png,TreeItem,screens_temp,tree item,False,False,"[448,377]","[559,413]"
TreeItem-Win GUI Crawler.png,TreeItem,Win GUI Crawler,tree item,False,False,"[448,413]","[580,449]"
TreeItem-Win GUI Crawler.png,TreeItem,Win GUI Crawler,tree item,False,False,"[448,449]","[580,485]"
TreeItem-Desktop.png,TreeItem,Desktop,tree item,False,True,"[0,0]","[0,0]"
TreeItem-OneDrive.png,TreeItem,OneDrive,tree item,False,False,"[436,497]","[514,533]"
TreeItem-This PC.png,TreeItem,This PC,tree item,False,False,"[436,545]","[497,581]"
TreeItem-Network.png,TreeItem,Network,tree item,False,False,"[436,593]","[507,628]"
Image-Thumbnail Module.png,Image,Thumbnail Module,image,False,False,"[948,203]","[1305,622]"
Text-Select a file to preview..png,Text,Select a file to preview.,text,False,False,"[1023,400]","[1209,425]"
Pane-Shell Folder View.png,Pane,Shell Folder View,pane,False,False,"[613,197]","[916,628]"
List-Items View.png,List,Items View,list,False,False,"[613,197]","[916,628]"
ScrollBar-Horizontal Scroll Bar.png,ScrollBar,Horizontal Scroll Bar,scroll bar,False,False,"[613,602]","[916,628]"
Button-Column left.png,Button,Column left,button,False,False,"[613,602]","[639,628]"
Thumb-Position.png,Thumb,Position,thumb,False,False,"[639,602]","[711,628]"
Button-Page right.png,Button,Page right,button,False,False,"[711,602]","[890,628]"
Button-Column right.png,Button,Column right,button,False,False,"[890,602]","[916,628]"
Header-Header.png,Header,Header,header,False,True,"[613,197]","[1668,238]"
SplitButton-Name.png,SplitButton,Name,split button,False,False,"[613,197]","[1072,238]"
Button-Filter drop-down.png,Button,Filter drop-down,button,True,False,"[1047,197]","[1070,238]"
SplitButton-Date modified.png,SplitButton,Date modified,split button,True,False,"[1072,197]","[1315,238]"
Button-Filter drop-down.png,Button,Filter drop-down,button,True,False,"[1290,197]","[1313,238]"
SplitButton-Type.png,SplitButton,Type,split button,True,False,"[1315,197]","[1518,238]"
Button-Filter drop-down.png,Button,Filter drop-down,button,True,False,"[1493,197]","[1516,238]"
SplitButton-Size.png,SplitButton,Size,split button,True,False,"[1518,197]","[1653,238]"
Button-Filter drop-down.png,Button,Filter drop-down,button,True,False,"[1628,197]","[1651,238]"
ListItem-AccessibilityInsights.png,ListItem,AccessibilityInsights,list item,False,False,"[634,247]","[1647,280]"
Image-.png,Image,,image,False,False,"[640,247]","[667,280]"
Edit-Name.png,Edit,Name,edit,False,True,"[667,247]","[1072,280]"
Edit-Date modified.png,Edit,Date modified,edit,True,False,"[1072,247]","[1315,280]"
Edit-Type.png,Edit,Type,edit,True,False,"[1315,247]","[1518,280]"
Edit-Size.png,Edit,Size,edit,True,False,"[1518,247]","[1653,280]"
ListItem-Custom Office Templates.png,ListItem,Custom Office Templates,list item,False,False,"[634,279]","[1647,312]"
Image-.png,Image,,image,False,False,"[640,279]","[667,312]"
Edit-Name.png,Edit,Name,edit,False,True,"[667,279]","[1072,312]"
Edit-Date modified.png,Edit,Date modified,edit,True,False,"[1072,279]","[1315,312]"
Edit-Type.png,Edit,Type,edit,True,False,"[1315,279]","[1518,312]"
Edit-Size.png,Edit,Size,edit,True,False,"[1518,279]","[1653,312]"
ListItem-FeedbackHub.png,ListItem,FeedbackHub,list item,False,False,"[634,311]","[1647,344]"
Image-.png,Image,,image,False,False,"[640,311]","[667,344]"
Edit-Name.png,Edit,Name,edit,False,True,"[667,311]","[1072,344]"
Edit-Date modified.png,Edit,Date modified,edit,True,False,"[1072,311]","[1315,344]"
Edit-Type.png,Edit,Type,edit,True,False,"[1315,311]","[1518,344]"
Edit-Size.png,Edit,Size,edit,True,False,"[1518,311]","[1653,344]"
ListItem-New folder.png,ListItem,New folder,list item,False,False,"[634,343]","[1647,376]"
Image-.png,Image,,image,False,False,"[640,343]","[667,376]"
Edit-Name.png,Edit,Name,edit,False,True,"[667,343]","[1072,376]"
Edit-Date modified.png,Edit,Date modified,edit,True,False,"[1072,343]","[1315,376]"
Edit-Type.png,Edit,Type,edit,True,False,"[1315,343]","[1518,376]"
Edit-Size.png,Edit,Size,edit,True,False,"[1518,343]","[1653,376]"
ListItem-New folder (2).png,ListItem,New folder (2),list item,False,False,"[634,375]","[1647,408]"
Image-.png,Image,,image,False,False,"[640,375]","[667,408]"
Edit-Name.png,Edit,Name,edit,False,True,"[667,375]","[1072,408]"
Edit-Date modified.png,Edit,Date modified,edit,True,False,"[1072,375]","[1315,408]"
Edit-Type.png,Edit,Type,edit,True,False,"[1315,375]","[1518,408]"
