filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Calculator.png,Window,Calculator,window,False,False,"[69,48]","[551,848]"
Window-Calculator.png,Window,Calculator,,False,False,"[268,49]","[550,97]"
MenuBar-System.png,MenuBar,System,menu bar,False,True,"[0,0]","[0,0]"
MenuItem-System.png,MenuItem,System,menu item,False,True,"[0,0]","[0,0]"
Button-Minimise Calculator.png,Button,Minimise Calculator,button,False,False,"[343,49]","[412,97]"
Button-Maximise Calculator.png,Button,Maximise Calculator,button,False,False,"[412,49]","[481,97]"
Button-Close Calculator.png,Button,Close Calculator,button,False,False,"[481,49]","[550,97]"
Window-Calculator.png,Window,Calculator,window,False,True,"[70,49]","[550,847]"
Text-Calculator.png,Text,Calculator,text,False,False,"[88,61]","[167,85]"
Group-.png,Group,,group,False,True,"[70,97]","[550,841]"
Text-Expression is .png,Text,Expression is ,text,True,True,"[0,0]","[0,0]"
Text-Display is 0.png,Text,Display is 0,text,False,False,"[70,191]","[550,263]"
Button-Open history flyout.png,Button,Open history flyout,button,False,False,"[490,97]","[550,157]"
Group-Angle operators.png,Group,Angle operators,group,False,False,"[77,265]","[230,317]"
Button-Radians toggle.png,Button,Radians toggle,button,False,False,"[77,265]","[152,317]"
Button-Scientific notation.png,Button,Scientific notation,button,False,False,"[155,265]","[230,317]"
Group-Memory controls.png,Group,Memory controls,group,False,False,"[77,320]","[545,372]"
Button-Clear all memory.png,Button,Clear all memory,button,False,False,"[77,320]","[152,372]"
Button-Memory Recall.png,Button,Memory Recall,button,False,False,"[155,320]","[230,372]"
Button-Memory Add.png,Button,Memory Add,button,False,False,"[233,320]","[309,372]"
Button-Memory Subtract.png,Button,Memory Subtract,button,False,False,"[312,320]","[387,372]"
Button-Memory Store.png,Button,Memory Store,button,False,False,"[390,320]","[466,372]"
Button-Open memory flyout.png,Button,Open memory flyout,button,False,False,"[470,320]","[545,372]"
List-Scientific Operator Panels.png,List,Scientific Operator Panels,list,False,False,"[75,373]","[546,430]"
ListItem-Trigonometry.png,ListItem,Trigonometry,list item,False,False,"[75,373]","[271,430]"
Button-Trigonometry.png,Button,Trigonometry,button,False,False,"[76,374]","[269,428]"
Text-Trigonometry.png,Text,Trigonometry,text,False,False,"[126,389]","[232,412]"
ListItem-Functions.png,ListItem,Functions,list item,False,False,"[271,373]","[429,430]"
Button-Functions.png,Button,Functions,button,False,False,"[272,374]","[427,428]"
Text-Function.png,Text,Function,text,False,False,"[322,389]","[390,412]"
Button-Inverse Function.png,Button,Inverse Function,button,False,False,"[76,431]","[167,487]"
Button-Pi.png,Button,Pi,button,False,False,"[170,431]","[261,487]"
Button-Euler's number.png,Button,Euler's number,button,False,False,"[264,431]","[355,487]"
Group-Display controls.png,Group,Display controls,group,False,False,"[359,431]","[544,487]"
Button-Clear.png,Button,Clear,button,False,False,"[359,431]","[450,487]"
Button-Backspace.png,Button,Backspace,button,False,False,"[453,431]","[544,487]"
Group-Scientific functions.png,Group,Scientific functions,group,False,False,"[76,490]","[167,841]"
Button-Square.png,Button,Square,button,False,False,"[76,490]","[167,546]"
Button-Square root.png,Button,Square root,button,False,False,"[76,549]","[167,604]"
Button-'X' to the exponent.png,Button,'X' to the exponent,button,False,False,"[76,608]","[167,664]"
Button-Ten to the exponent.png,Button,Ten to the exponent,button,False,False,"[76,667]","[167,723]"
Button-Log.png,Button,Log,button,False,False,"[76,726]","[167,782]"
Button-Natural log.png,Button,Natural log,button,False,False,"[76,785]","[167,841]"
Button-Reciprocal.png,Button,Reciprocal,button,False,False,"[170,490]","[261,546]"
Button-Absolute Value.png,Button,Absolute Value,button,False,False,"[264,490]","[355,546]"
Button-Exponential.png,Button,Exponential,button,False,False,"[359,490]","[450,546]"
Button-Modulo.png,Button,Modulo,button,False,False,"[453,490]","[544,546]"
Button-Left parenthesis.png,Button,Left parenthesis,button,False,False,"[170,549]","[261,604]"
