filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Oracle VM VirtualBox Manager.png,Window,Oracle VM VirtualBox Manager,window,False,False,"[120,179]","[1090,773]"
Window-Import Virtual Appliance.png,Window,Import Virtual Appliance,window,False,True,"[0,0]","[1120,919]"
TitleBar-.png,TitleBar,,title bar,True,True,"[-361,-44]","[-361,-44]"
MenuBar-System.png,MenuBar,System,menu bar,True,False,"[-120,-7]","[-98,15]"
MenuItem-System.png,MenuItem,System,menu item,True,False,"[-120,-7]","[-98,15]"
Button-Context help.png,Button,Context help,button,False,False,"[978,1]","[1049,45]"
Button-Close.png,Button,Close,button,False,False,"[1049,1]","[1120,45]"
Custom-.png,Custom,,,False,True,"[1,106]","[1119,918]"
Button-Next Enter.png,Button,Next Enter,button,False,False,"[869,866]","[981,900]"
Custom-.png,Custom,,,False,True,"[1,168]","[1119,840]"
Custom-.png,Custom,,,False,True,"[37,168]","[1119,840]"
Custom-.png,Custom,,,False,False,"[49,180]","[1107,216]"
Edit-.png,Edit,,edit,False,False,"[49,180]","[1107,216]"
Custom-.png,Custom,,,False,False,"[49,180]","[1107,216]"
Custom-.png,Custom,,,False,False,"[49,224]","[1107,262]"
Button-.png,Button,,button,False,False,"[1069,224]","[1107,260]"
Edit-.png,Edit,,edit,False,False,"[49,224]","[1061,262]"
Button-Cancel.png,Button,Cancel,button,False,False,"[989,866]","[1101,900]"
Button-Expert Mode Alt+E.png,Button,Expert Mode Alt+E,button,False,False,"[749,866]","[861,900]"
Text-Appliance to import.png,Text,Appliance to import,text,False,False,"[1,128]","[1119,160]"
Button-.png,Button,,button,False,False,"[1,54]","[49,102]"
TitleBar-.png,TitleBar,,title bar,False,False,"[145,182]","[1089,224]"
MenuBar-System.png,MenuBar,System,menu bar,True,False,"[-40,112]","[-18,134]"
MenuItem-System.png,MenuItem,System,menu item,True,False,"[-40,112]","[-18,134]"
Button-Minimise.png,Button,Minimise,button,False,True,"[878,180]","[949,224]"
Button-Maximise.png,Button,Maximise,button,False,True,"[949,180]","[1019,224]"
Button-Close.png,Button,Close,button,False,True,"[1019,180]","[1090,224]"
MenuBar-.png,MenuBar,,menu bar,False,True,"[121,224]","[1089,260]"
MenuItem-File Alt+F.png,MenuItem,File Alt+F,menu item,False,True,"[121,224]","[181,258]"
MenuItem-Machine Alt+M.png,MenuItem,Machine Alt+M,menu item,False,True,"[181,224]","[281,258]"
MenuItem-Help Alt+H.png,MenuItem,Help Alt+H,menu item,False,True,"[281,224]","[351,258]"
Custom-.png,Custom,,,False,False,"[121,260]","[1089,772]"
SplitButton-.png,SplitButton,,split button,False,False,"[121,260]","[1089,772]"
Custom-.png,Custom,,,False,False,"[331,260]","[1089,772]"
ToolBar-.png,ToolBar,,tool bar,False,False,"[331,260]","[1089,348]"
Button-Preferences.png,Button,Preferences,button,False,False,"[331,260]","[441,348]"
Custom-.png,Custom,,,False,False,"[441,260]","[449,348]"
Button-Import.png,Button,Import,button,False,False,"[449,260]","[525,348]"
Button-Export.png,Button,Export,button,False,False,"[525,260]","[597,348]"
Custom-.png,Custom,,,False,False,"[597,260]","[605,348]"
Button-New.png,Button,New,button,False,False,"[605,260]","[667,348]"
Button-Add.png,Button,Add,button,False,False,"[667,260]","[729,348]"
Pane-.png,Pane,,pane,False,True,"[331,348]","[1089,772]"
Custom-.png,Custom,,,False,True,"[331,348]","[1089,772]"
Custom-.png,Custom,,,False,True,"[331,348]","[1089,772]"
"Text-Welcome to VirtualBox!
The left part of application window contains global tools and lists all virtual machines and virtual machine groups on your computer. You can import, add and create new VMs using corresponding toolbar buttons. You can popup a tools of currently selected element using corresponding element button.
You can press the F1 key to get instant help, or visit www.virtualbox.org for more information and latest news..png",Text,"Welcome to VirtualBox!
The left part of application window contains global tools and lists all virtual machines and virtual machine groups on your computer. You can import, add and create new VMs using corresponding toolbar buttons. You can popup a tools of currently selected element using corresponding element button.
You can press the F1 key to get instant help, or visit www.virtualbox.org for more information and latest news.",text,False,False,"[349,360]","[669,760]"
Image-.png,Image,,image,False,False,"[677,360]","[1077,760]"
Custom-.png,Custom,,,False,False,"[121,260]","[329,772]"
List-.png,List,,list,False,True,"[121,260]","[329,772]"
ListItem-Tools.png,ListItem,Tools,list item,False,False,"[121,260]","[329,348]"
Thumb-.png,Thumb,,thumb,False,False,"[325,260]","[335,772]"
