filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-.png,Window,,window,True,False,"[-5,-1]","[212,38]"
TitleBar-.png,TitleBar,,title bar,False,False,"[20,2]","[211,38]"
MenuBar-System.png,MenuBar,System,menu bar,True,False,"[10659,10673]","[10681,10695]"
MenuItem-System.png,MenuItem,System,menu item,True,False,"[10659,10673]","[10681,10695]"
Button-Restore.png,Button,Restore,button,False,False,"[0,0]","[71,38]"
Button-Maximise.png,Button,Maximise,button,False,False,"[71,0]","[141,38]"
Button-Close.png,Button,Close,button,False,False,"[141,0]","[212,38]"
MenuBar-.png,MenuBar,,menu bar,True,False,"[32467,32267]","[33435,32303]"
MenuItem-File Alt+F.png,MenuItem,File Alt+F,menu item,True,False,"[32467,32267]","[32527,32301]"
MenuItem-Machine Alt+M.png,MenuItem,Machine Alt+M,menu item,True,False,"[32527,32267]","[32627,32301]"
MenuItem-Help Alt+H.png,MenuItem,Help Alt+H,menu item,True,False,"[32627,32267]","[32697,32301]"
Custom-.png,Custom,,,True,False,"[32467,32303]","[33435,32815]"
SplitButton-.png,SplitButton,,split button,True,False,"[32467,32303]","[33435,32815]"
Custom-.png,Custom,,,True,False,"[32677,32303]","[33435,32815]"
ToolBar-.png,ToolBar,,tool bar,True,False,"[32677,32303]","[33435,32391]"
Button-Preferences.png,Button,Preferences,button,True,False,"[32677,32303]","[32787,32391]"
Custom-.png,Custom,,,True,False,"[32787,32303]","[32795,32391]"
Button-Import.png,Button,Import,button,True,False,"[32795,32303]","[32871,32391]"
Button-Export.png,Button,Export,button,True,False,"[32871,32303]","[32943,32391]"
Custom-.png,Custom,,,True,False,"[32943,32303]","[32951,32391]"
Button-New.png,Button,New,button,True,False,"[32951,32303]","[33013,32391]"
Button-Add.png,Button,Add,button,True,False,"[33013,32303]","[33075,32391]"
Pane-.png,Pane,,pane,True,False,"[32677,32391]","[33435,32815]"
Custom-.png,Custom,,,True,False,"[32677,32391]","[33435,32815]"
Custom-.png,Custom,,,True,False,"[32677,32391]","[33435,32815]"
"Text-Welcome to VirtualBox!
The left part of application window contains global tools and lists all virtual machines and virtual machine groups on your computer. You can import, add and create new VMs using corresponding toolbar buttons. You can popup a tools of currently selected element using corresponding element button.
You can press the F1 key to get instant help, or visit www.virtualbox.org for more information and latest news..png",Text,"Welcome to VirtualBox!
The left part of application window contains global tools and lists all virtual machines and virtual machine groups on your computer. You can import, add and create new VMs using corresponding toolbar buttons. You can popup a tools of currently selected element using corresponding element button.
You can press the F1 key to get instant help, or visit www.virtualbox.org for more information and latest news.",text,True,False,"[32695,32403]","[33015,32803]"
Image-.png,Image,,image,True,False,"[33023,32403]","[33423,32803]"
Custom-.png,Custom,,,True,False,"[32467,32303]","[32675,32815]"
List-.png,List,,list,True,False,"[32467,32303]","[32675,32815]"
ListItem-Tools.png,ListItem,Tools,list item,True,False,"[32467,32303]","[32675,32391]"
Thumb-.png,Thumb,,thumb,True,False,"[32671,32303]","[32681,32815]"
