filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window:Word.png,Window,Word,window,False,False,"[0,0]","[1942,1042]"
Window:Open.png,Window,Open,dialogue,False,False,"[21,11]","[961,721]"
Pane:.png,Pane,,pane,False,False,"[22,115]","[960,595]"
ToolBar:Command Module.png,ToolBar,Command Module,tool bar,False,False,"[22,115]","[960,164]"
Button:&Help.png,Button,&Help,button,False,False,"[904,118]","[946,159]"
CheckBox:Preview pane.png,CheckBox,Preview pane,checkbox,False,False,"[850,118]","[892,159]"
SplitButton:Views.png,SplitButton,Views,split button,False,False,"[773,118]","[850,159]"
Button:View Slider.png,Button,View Slider,button,False,False,"[814,118]","[835,159]"
Button:Organise.png,Button,Organise,button,False,False,"[27,118]","[159,159]"
Button:New folder.png,Button,New folder,button,False,False,"[159,118]","[292,159]"
Pane:Control Host.png,Pane,Control Host,pane,False,False,"[22,164]","[256,595]"
Tree:Tree View.png,Tree,Tree View,tree,False,False,"[22,164]","[256,595]"
ScrollBar:Vertical.png,ScrollBar,Vertical,scroll bar,False,False,"[230,164]","[256,595]"
Button:Line up.png,Button,Line up,button,False,False,"[230,164]","[256,190]"
Button:Page up.png,Button,Page up,button,False,False,"[230,190]","[256,250]"
Thumb:Position.png,Thumb,Position,thumb,False,False,"[230,250]","[256,543]"
Button:Page down.png,Button,Page down,button,False,False,"[230,543]","[256,569]"
Button:Line down.png,Button,Line down,button,False,False,"[230,569]","[256,595]"
TreeItem:Quick access.png,TreeItem,Quick access,tree item,True,True,"[11,11]","[11,11]"
TreeItem:Desktop (pinned).png,TreeItem,Desktop (pinned),tree item,True,True,"[11,11]","[11,11]"
TreeItem:Downloads (pinned).png,TreeItem,Downloads (pinned),tree item,False,False,"[97,164]","[191,200]"
TreeItem:Documents (pinned).png,TreeItem,Documents (pinned),tree item,False,False,"[97,200]","[192,236]"
TreeItem:Pictures (pinned).png,TreeItem,Pictures (pinned),tree item,False,False,"[97,236]","[162,272]"
TreeItem:(old)gui_test-master.png,TreeItem,(old)gui_test-master,tree item,False,False,"[97,272]","[230,308]"
