filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Adobe Acrobat Reader DC (32-bit).png,Window,Adobe Acrobat Reader DC (32-bit),window,True,False,"[10,0]","[227,39]"
Pane-TopTabBarContainerViewForDocs.png,Pane,TopTabBarContainerViewForDocs,pane,False,True,"[0,0]","[1920,54]"
Pane-AVHomeSearchBarView.png,Pane,AVHomeSearchBarView,pane,False,False,"[1030,6]","[1390,48]"
Edit-.png,Edit,,edit,False,False,"[1072,10]","[1348,43]"
Pane-AVUITopRightCommandCluster.png,Pane,AVUITopRightCommandCluster,pane,False,False,"[1390,1]","[1920,53]"
Pane-AVTabLinksContainerViewForDocs.png,Pane,AVTabLinksContainerViewForDocs,pane,False,True,"[0,0]","[1005,54]"
Pane-AVFlipContainerView.png,Pane,AVFlipContainerView,pane,False,False,"[0,54]","[1920,956]"
Pane-AVDocumentMainView.png,Pane,AVDocumentMainView,pane,False,False,"[0,54]","[1920,956]"
Pane-AVFlipContainerView.png,Pane,AVFlipContainerView,pane,False,False,"[0,54]","[1920,956]"
Pane-AVScrollView.png,Pane,AVScrollView,pane,False,False,"[331,54]","[1920,911]"
Pane-AVRightContainerView.png,Pane,AVRightContainerView,pane,False,False,"[331,54]","[1894,911]"
ScrollBar-.png,ScrollBar,,scroll bar,False,False,"[1894,54]","[1920,911]"
Button-Line up.png,Button,Line up,button,False,False,"[1894,54]","[1920,80]"
Thumb-Position.png,Thumb,Position,thumb,False,False,"[1894,80]","[1920,856]"
Button-Page down.png,Button,Page down,button,False,False,"[1894,856]","[1920,885]"
Button-Line down.png,Button,Line down,button,False,False,"[1894,885]","[1920,911]"
Pane-AVScrollView.png,Pane,AVScrollView,pane,False,False,"[0,54]","[330,956]"
Pane-AVLeftContainerView.png,Pane,AVLeftContainerView,pane,False,False,"[0,54]","[330,956]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,False,"[24,744]","[306,792]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,False,"[24,690]","[306,738]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,False,"[24,600]","[306,648]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,False,"[24,546]","[306,594]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,False,"[24,492]","[306,540]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,False,"[24,420]","[306,468]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,False,"[24,366]","[306,414]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,False,"[24,312]","[306,360]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,False,"[24,258]","[306,306]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,False,"[24,186]","[306,234]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,False,"[24,132]","[306,180]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,False,"[24,78]","[306,126]"
TitleBar-.png,TitleBar,,title bar,False,False,"[35,3]","[226,39]"
MenuBar-System.png,MenuBar,System,menu bar,False,False,"[11,11]","[44,44]"
MenuItem-System.png,MenuItem,System,menu item,False,False,"[11,11]","[44,44]"
Button-Restore.png,Button,Restore,button,False,False,"[15,1]","[86,39]"
Button-Maximise.png,Button,Maximise,button,False,False,"[86,1]","[156,39]"
Button-Close.png,Button,Close,button,False,False,"[156,1]","[227,39]"
MenuBar-Application.png,MenuBar,Application,menu bar,False,True,"[11,11]","[1931,40]"
MenuItem-File.png,MenuItem,File,menu item,True,False,"[11,45]","[57,74]"
MenuItem-Edit.png,MenuItem,Edit,menu item,True,False,"[57,45]","[107,74]"
MenuItem-View.png,MenuItem,View,menu item,True,False,"[107,45]","[164,74]"
MenuItem-Sign.png,MenuItem,Sign,menu item,True,False,"[164,45]","[219,74]"
MenuItem-Window.png,MenuItem,Window,menu item,True,False,"[219,45]","[305,74]"
MenuItem-Help.png,MenuItem,Help,menu item,True,False,"[305,45]","[362,74]"
