filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Oracle VM VirtualBox Manager.png,Window,Oracle VM VirtualBox Manager,window,False,False,"[140,179]","[1110,773]"
Window-Export Virtual Appliance.png,Window,Export Virtual Appliance,window,False,False,"[0,0]","[1252,1031]"
TitleBar-.png,TitleBar,,title bar,True,True,"[-341,-44]","[-341,-44]"
MenuBar-System.png,MenuBar,System,menu bar,True,False,"[-113,-7]","[-91,15]"
MenuItem-System.png,MenuItem,System,menu item,True,False,"[-113,-7]","[-91,15]"
Button-Context help.png,Button,Context help,button,False,False,"[1110,1]","[1181,45]"
Button-Close.png,Button,Close,button,False,False,"[1181,1]","[1252,45]"
Custom-.png,Custom,,,False,False,"[1,106]","[1251,1030]"
Button-Next Enter.png,Button,Next Enter,button,False,False,"[1001,978]","[1113,1012]"
Custom-.png,Custom,,,False,False,"[1,168]","[1251,952]"
Custom-.png,Custom,,,False,False,"[37,168]","[1251,952]"
Custom-.png,Custom,,,False,False,"[49,180]","[1239,236]"
Edit-.png,Edit,,edit,False,False,"[49,180]","[1239,236]"
Custom-.png,Custom,,,False,False,"[49,180]","[1239,236]"
List-.png,List,,list,False,False,"[49,244]","[1239,940]"
Button-Cancel.png,Button,Cancel,button,False,False,"[1121,978]","[1233,1012]"
Button-Expert Mode Alt+E.png,Button,Expert Mode Alt+E,button,False,False,"[881,978]","[993,1012]"
Text-Virtual machines to export.png,Text,Virtual machines to export,text,False,False,"[1,128]","[1251,160]"
Button-.png,Button,,button,False,False,"[1,54]","[49,102]"
TitleBar-.png,TitleBar,,title bar,False,False,"[165,182]","[1109,224]"
MenuBar-System.png,MenuBar,System,menu bar,True,False,"[-20,112]","[2,134]"
MenuItem-System.png,MenuItem,System,menu item,True,False,"[-20,112]","[2,134]"
Button-Minimise.png,Button,Minimise,button,False,True,"[898,180]","[969,224]"
Button-Maximise.png,Button,Maximise,button,False,True,"[969,180]","[1039,224]"
Button-Close.png,Button,Close,button,False,True,"[1039,180]","[1110,224]"
MenuBar-.png,MenuBar,,menu bar,False,True,"[141,224]","[1109,260]"
MenuItem-File Alt+F.png,MenuItem,File Alt+F,menu item,False,True,"[141,224]","[201,258]"
MenuItem-Machine Alt+M.png,MenuItem,Machine Alt+M,menu item,False,True,"[201,224]","[301,258]"
MenuItem-Help Alt+H.png,MenuItem,Help Alt+H,menu item,False,True,"[301,224]","[371,258]"
Custom-.png,Custom,,,False,True,"[141,260]","[1109,772]"
SplitButton-.png,SplitButton,,split button,False,True,"[141,260]","[1109,772]"
Custom-.png,Custom,,,False,True,"[351,260]","[1109,772]"
ToolBar-.png,ToolBar,,tool bar,False,True,"[351,260]","[1109,348]"
Button-Preferences.png,Button,Preferences,button,False,True,"[351,260]","[461,348]"
Custom-.png,Custom,,,False,True,"[461,260]","[469,348]"
Button-Import.png,Button,Import,button,False,True,"[469,260]","[545,348]"
Button-Export.png,Button,Export,button,False,True,"[545,260]","[617,348]"
Custom-.png,Custom,,,False,True,"[617,260]","[625,348]"
Button-New.png,Button,New,button,False,True,"[625,260]","[687,348]"
Button-Add.png,Button,Add,button,False,True,"[687,260]","[749,348]"
Pane-.png,Pane,,pane,False,True,"[351,348]","[1109,772]"
Custom-.png,Custom,,,False,True,"[351,348]","[1109,772]"
Custom-.png,Custom,,,False,True,"[351,348]","[1109,772]"
"Text-Welcome to VirtualBox!
The left part of application window contains global tools and lists all virtual machines and virtual machine groups on your computer. You can import, add and create new VMs using corresponding toolbar buttons. You can popup a tools of currently selected element using corresponding element button.
You can press the F1 key to get instant help, or visit www.virtualbox.org for more information and latest news..png",Text,"Welcome to VirtualBox!
The left part of application window contains global tools and lists all virtual machines and virtual machine groups on your computer. You can import, add and create new VMs using corresponding toolbar buttons. You can popup a tools of currently selected element using corresponding element button.
You can press the F1 key to get instant help, or visit www.virtualbox.org for more information and latest news.",text,False,True,"[369,360]","[689,760]"
Image-.png,Image,,image,False,True,"[697,360]","[1097,760]"
Custom-.png,Custom,,,False,True,"[141,260]","[349,772]"
List-.png,List,,list,False,True,"[141,260]","[349,772]"
ListItem-Tools.png,ListItem,Tools,list item,False,True,"[141,260]","[349,348]"
Thumb-.png,Thumb,,thumb,False,True,"[345,260]","[355,772]"
