filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window:Word.png,Window,Word,window,False,False,"[7,11]","[1447,747]"
Pane:DropShadowTop.png,Pane,DropShadowTop,pane,False,False,"[9,162]","[1445,171]"
Pane:MsoDockRight.png,Pane,MsoDockRight,pane,False,False,"[747,162]","[1445,712]"
ToolBar:.png,ToolBar,,tool bar,False,False,"[747,162]","[1445,712]"
Pane:Feedback to Microsoft.png,Pane,Feedback to Microsoft,pane,False,False,"[755,217]","[1437,705]"
Pane:.png,Pane,,pane,False,False,"[755,217]","[1437,705]"
Pane:.png,Pane,,Pane,False,False,"[755,217]","[1437,705]"
Custom:Feedback to Microsoft.png,Custom,Feedback to Microsoft,Custom Control,False,False,"[755,217]","[1437,705]"
Pane:.png,Pane,,Pane,False,False,"[764,228]","[1428,694]"
Pane:.png,Pane,,pane,False,False,"[764,228]","[1428,694]"
Pane:.png,Pane,,pane,False,False,"[764,228]","[1428,694]"
Pane:https://support.office.com/client/results?HelpID=175463&lcid=1033&syslcid=8192&uilcid=1033&ShowNav=true&VERSION=90&NS=WINWORD.png,Pane,https://support.office.com/client/results?HelpID=175463&lcid=1033&syslcid=8192&uilcid=1033&ShowNav=true&VERSION=90&NS=WINWORD,pane,False,False,"[764,228]","[1428,694]"
Pane:.png,Pane,,pane,False,True,"[764,228]","[1403,779]"
"Group:I don't like something







Your organization manages your privacy settings and has opted into optional diagnostic data, so we'll include diagnostic logs for troubleshooting.
Learn more

By pressing submit, your feedback will be used to improve Microsoft products and services. IT admins for your organization will be able to view and manage your feedback data. 
Privacy Statement




Submit
 


Cancel.png",Group,"I don't like something







Your organization manages your privacy settings and has opted into optional diagnostic data, so we'll include diagnostic logs for troubleshooting.
Learn more

By pressing submit, your feedback will be used to improve Microsoft products and services. IT admins for your organization will be able to view and manage your feedback data. 
Privacy Statement




Submit
 


Cancel",group,False,True,"[772,239]","[1395,749]"
StatusBar:I don't like something.png,StatusBar,I don't like something,status,False,False,"[787,239]","[1380,285]"
Text:I don't like something.png,Text,I don't like something,text,False,False,"[791,239]","[996,285]"
Edit:FeedbackInputTextArea.png,Edit,FeedbackInputTextArea,edit,False,False,"[794,308]","[1373,428]"
"Text:Your organization manages your privacy settings and has opted into optional diagnostic data, so we'll include diagnostic logs for troubleshooting..png",Text,"Your organization manages your privacy settings and has opted into optional diagnostic data, so we'll include diagnostic logs for troubleshooting.",text,False,False,"[791,451]","[1350,523]"
HyperLink:Learn more.png,HyperLink,Learn more,link,False,False,"[791,522]","[889,548]"
Text:Learn more.png,Text,Learn more,text,False,False,"[791,523]","[889,547]"
"Text:By pressing submit, your feedback will be used to improve Microsoft products and services. IT admins for your organization will be able to view and manage your feedback data..png",Text,"By pressing submit, your feedback will be used to improve Microsoft products and services. IT admins for your organization will be able to view and manage your feedback data.",text,False,False,"[791,566]","[1349,638]"
HyperLink:Privacy Statement.png,HyperLink,Privacy Statement,link,False,False,"[791,637]","[945,663]"
Text:Privacy Statement.png,Text,Privacy Statement,text,False,False,"[791,638]","[945,662]"
Button:Submit.png,Button,Submit,button,False,False,"[791,682]","[911,730]"
Button:Cancel.png,Button,Cancel,button,False,False,"[916,682]","[1036,730]"
MenuItem:Task Pane Options.png,MenuItem,Task Pane Options,menu item,False,False,"[1328,169]","[1376,217]"
Pane:.png,Pane,,pane,False,False,"[534,162]","[747,712]"
Pane:MsoDockLeft.png,Pane,MsoDockLeft,pane,False,False,"[9,162]","[534,712]"
ToolBar:.png,ToolBar,,tool bar,False,False,"[9,162]","[534,712]"
Pane:Navigation.png,Pane,Navigation,pane,False,False,"[17,217]","[526,705]"
Pane:.png,Pane,,pane,False,False,"[17,217]","[526,705]"
Pane:.png,Pane,,Pane,False,False,"[17,217]","[526,705]"
Custom:Navigation.png,Custom,Navigation,Custom Control,False,False,"[17,217]","[526,705]"
Edit:Search document.png,Edit,Search document,Edit Box,False,False,"[27,240]","[455,271]"
SplitButton:.png,SplitButton,,SplitButton,False,False,"[455,239]","[509,273]"
Button:.png,Button,,Button,False,False,"[455,239]","[487,273]"
Image:.png,Image,,Image,False,False,"[459,244]","[483,268]"
