filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window:Word.png,Window,Word,window,False,False,"[42,56]","[1482,792]"
Window:Open.png,Window,Open,dialogue,False,False,"[54,58]","[994,768]"
Pane:.png,Pane,,pane,False,False,"[55,162]","[993,642]"
ToolBar:Command Module.png,ToolBar,Command Module,tool bar,False,False,"[55,162]","[993,211]"
Button:&Help.png,Button,&Help,button,False,False,"[937,165]","[979,206]"
CheckBox:Preview pane.png,CheckBox,Preview pane,checkbox,False,False,"[883,165]","[925,206]"
SplitButton:Views.png,SplitButton,Views,split button,False,False,"[806,165]","[883,206]"
Button:View Slider.png,Button,View Slider,button,False,False,"[847,165]","[868,206]"
Button:Organise.png,Button,Organise,button,False,False,"[60,165]","[192,206]"
Button:New folder.png,Button,New folder,button,False,False,"[192,165]","[325,206]"
Pane:Control Host.png,Pane,Control Host,pane,False,False,"[55,211]","[289,642]"
Tree:Tree View.png,Tree,Tree View,tree,False,False,"[55,211]","[289,642]"
ScrollBar:Vertical.png,ScrollBar,Vertical,scroll bar,False,False,"[263,211]","[289,642]"
Button:Line up.png,Button,Line up,button,False,False,"[263,211]","[289,237]"
Button:Page up.png,Button,Page up,button,False,False,"[263,237]","[289,297]"
Thumb:Position.png,Thumb,Position,thumb,False,False,"[263,297]","[289,590]"
Button:Page down.png,Button,Page down,button,False,False,"[263,590]","[289,616]"
Button:Line down.png,Button,Line down,button,False,False,"[263,616]","[289,642]"
TreeItem:Quick access.png,TreeItem,Quick access,tree item,True,True,"[0,0]","[0,0]"
TreeItem:Desktop (pinned).png,TreeItem,Desktop (pinned),tree item,True,True,"[0,0]","[0,0]"
TreeItem:Downloads (pinned).png,TreeItem,Downloads (pinned),tree item,False,False,"[130,211]","[224,247]"
TreeItem:Documents (pinned).png,TreeItem,Documents (pinned),tree item,False,False,"[130,247]","[225,283]"
TreeItem:Pictures (pinned).png,TreeItem,Pictures (pinned),tree item,False,False,"[130,283]","[195,319]"
TreeItem:(old)gui_test-master.png,TreeItem,(old)gui_test-master,tree item,False,False,"[130,319]","[263,355]"
TreeItem:screens_temp.png,TreeItem,screens_temp,tree item,False,False,"[130,355]","[241,391]"
TreeItem:screens_temp.png,TreeItem,screens_temp,tree item,False,False,"[130,391]","[241,427]"
TreeItem:Win GUI Crawler.png,TreeItem,Win GUI Crawler,tree item,False,False,"[130,427]","[262,463]"
TreeItem:Microsoft Word.png,TreeItem,Microsoft Word,tree item,False,False,"[118,475]","[247,511]"
TreeItem:Desktop.png,TreeItem,Desktop,tree item,False,True,"[0,0]","[0,0]"
TreeItem:OneDrive.png,TreeItem,OneDrive,tree item,False,False,"[118,523]","[196,559]"
TreeItem:This PC.png,TreeItem,This PC,tree item,False,False,"[118,571]","[179,607]"
TreeItem:Network.png,TreeItem,Network,tree item,False,False,"[118,619]","[189,642]"
Image:Thumbnail Module.png,Image,Thumbnail Module,image,False,False,"[630,217]","[987,636]"
Text:Select a file to preview..png,Text,Select a file to preview.,text,False,False,"[705,414]","[891,439]"
Pane:Shell Folder View.png,Pane,Shell Folder View,pane,False,False,"[295,211]","[598,642]"
List:Items View.png,List,Items View,list,False,False,"[295,211]","[598,642]"
ScrollBar:Horizontal Scroll Bar.png,ScrollBar,Horizontal Scroll Bar,scroll bar,False,False,"[295,616]","[598,642]"
Button:Column left.png,Button,Column left,button,False,False,"[295,616]","[321,642]"
Thumb:Position.png,Thumb,Position,thumb,False,False,"[321,616]","[393,642]"
Button:Page right.png,Button,Page right,button,False,False,"[393,616]","[572,642]"
Button:Column right.png,Button,Column right,button,False,False,"[572,616]","[598,642]"
Header:Header.png,Header,Header,header,False,True,"[295,211]","[1350,252]"
SplitButton:Name.png,SplitButton,Name,split button,False,False,"[295,211]","[754,252]"
Button:Filter drop-down.png,Button,Filter drop-down,button,True,False,"[729,211]","[752,252]"
SplitButton:Date modified.png,SplitButton,Date modified,split button,True,False,"[754,211]","[997,252]"
