filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Calculator.png,Window,Calculator,window,False,False,"[0,0]","[1920,1020]"
Window-Calculator.png,Window,Calculator,,False,False,"[1638,0]","[1920,48]"
MenuBar-System.png,MenuBar,System,menu bar,False,True,"[0,0]","[0,0]"
MenuItem-System.png,MenuItem,System,menu item,False,True,"[0,0]","[0,0]"
Button-Minimise Calculator.png,Button,Minimise Calculator,button,False,False,"[1713,0]","[1782,48]"
Button-Restore Calculator.png,Button,Restore Calculator,button,False,False,"[1782,0]","[1851,48]"
Button-Close Calculator.png,Button,Close Calculator,button,False,False,"[1851,0]","[1920,48]"
Window-Calculator.png,Window,Calculator,window,False,True,"[0,0]","[1920,1020]"
Text-Calculator.png,Text,Calculator,text,False,False,"[18,12]","[97,36]"
Group-.png,Group,,group,False,True,"[0,44]","[1920,1020]"
Text-Expression is .png,Text,Expression is ,text,True,True,"[0,0]","[0,0]"
Text-Display is 0.png,Text,Display is 0,text,False,False,"[0,150]","[1440,302]"
Group-Memory controls.png,Group,Memory controls,group,False,False,"[7,304]","[604,369]"
Button-Clear all memory.png,Button,Clear all memory,button,False,False,"[7,304]","[124,369]"
Button-Memory Recall.png,Button,Memory Recall,button,False,False,"[127,304]","[243,369]"
Button-Memory Add.png,Button,Memory Add,button,False,False,"[246,304]","[363,369]"
Button-Memory Subtract.png,Button,Memory Subtract,button,False,False,"[367,304]","[484,369]"
Button-Memory Store.png,Button,Memory Store,button,False,False,"[487,304]","[603,369]"
Group-Display controls.png,Group,Display controls,group,False,False,"[6,371]","[1434,475]"
Button-Percent.png,Button,Percent,button,False,False,"[6,371]","[360,475]"
Button-Clear entry.png,Button,Clear entry,button,False,False,"[364,371]","[718,475]"
Button-Clear.png,Button,Clear,button,False,False,"[722,371]","[1076,475]"
Button-Backspace.png,Button,Backspace,button,False,False,"[1079,371]","[1433,475]"
Group-Standard functions.png,Group,Standard functions,group,False,False,"[6,479]","[1076,583]"
Button-Reciprocal.png,Button,Reciprocal,button,False,False,"[6,479]","[360,583]"
Button-Square.png,Button,Square,button,False,False,"[364,479]","[718,583]"
Button-Square root.png,Button,Square root,button,False,False,"[722,479]","[1076,583]"
Group-Standard operators.png,Group,Standard operators,group,False,False,"[1079,479]","[1433,1014]"
Button-Divide by.png,Button,Divide by,button,False,False,"[1079,479]","[1433,583]"
Button-Multiply by.png,Button,Multiply by,button,False,False,"[1079,586]","[1433,690]"
Button-Minus.png,Button,Minus,button,False,False,"[1079,694]","[1433,798]"
Button-Plus.png,Button,Plus,button,False,False,"[1079,802]","[1433,906]"
Button-Equals.png,Button,Equals,button,False,False,"[1079,909]","[1433,1013]"
Group-Number pad.png,Group,Number pad,group,False,False,"[6,586]","[1076,1013]"
Button-Zero.png,Button,Zero,button,False,False,"[364,909]","[718,1013]"
Button-One.png,Button,One,button,False,False,"[6,802]","[360,906]"
Button-Two.png,Button,Two,button,False,False,"[364,802]","[718,906]"
Button-Three.png,Button,Three,button,False,False,"[722,802]","[1076,906]"
Button-Four.png,Button,Four,button,False,False,"[6,694]","[360,798]"
Button-Five.png,Button,Five,button,False,False,"[364,694]","[718,798]"
Button-Six.png,Button,Six,button,False,False,"[722,694]","[1076,798]"
Button-Seven.png,Button,Seven,button,False,False,"[6,586]","[360,690]"
Button-Eight.png,Button,Eight,button,False,False,"[364,586]","[718,690]"
Button-Nine.png,Button,Nine,button,False,False,"[722,586]","[1076,690]"
Button-Decimal Separator.png,Button,Decimal Separator,button,False,False,"[722,909]","[1076,1013]"
Button-Positive Negative.png,Button,Positive Negative,button,False,False,"[6,909]","[360,1013]"
Group-History and Memory lists.png,Group,History and Memory lists,group,False,False,"[1440,44]","[1920,1020]"
Tab-.png,Tab,,tab,False,False,"[1440,44]","[1920,1020]"
TabItem-History.png,TabItem,History,tab item,False,False,"[1440,44]","[1563,115]"
Text-There’s no history yet.png,Text,There’s no history yet,text,False,False,"[1464,152]","[1884,1020]"
TabItem-Memory.png,TabItem,Memory,tab item,False,False,"[1563,44]","[1698,115]"
Text-Standard Calculator mode.png,Text,Standard Calculator mode,text,False,False,"[72,56]","[195,96]"
Button-Keep on top.png,Button,Keep on top,button,False,False,"[210,48]","[270,108]"
Custom-.png,Custom,,custom,False,True,"[0,48]","[1920,1020]"
Button-Open Navigation.png,Button,Open Navigation,button,False,False,"[0,48]","[60,108]"
Text-.png,Text,,text,True,True,"[0,0]","[0,0]"
Pane-.png,Pane,,pane,False,True,"[0,48]","[1920,1020]"
