filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window:Calculator.png,Window,Calculator,window,False,False,"[69,197]","[551,997]"
Window:Pop-upHost.png,Window,Pop-upHost,window,False,False,"[70,192]","[392,934]"
Window:Pop-up.png,Window,Pop-up,window,False,False,"[70,0]","[1990,1020]"
Button:Close.png,Button,Close,button,False,True,"[70,0]","[1990,1020]"
ComboBox:Input unit.png,ComboBox,Input unit,combo box,False,True,"[70,390]","[374,438]"
ListItem:Thailand Baht.png,ListItem,Thailand Baht,list item,False,False,"[72,194]","[390,194]"
Text:Thailand Baht.png,Text,Thailand Baht,text,True,True,"[0,149]","[0,149]"
ListItem:Trinidad and Tobago Dollar.png,ListItem,Trinidad and Tobago Dollar,list item,False,True,"[72,195]","[390,244]"
Text:Trinidad and Tobago Dollar.png,Text,Trinidad and Tobago Dollar,text,False,True,"[89,202]","[372,230]"
ListItem:Tunisia Dinar.png,ListItem,Tunisia Dinar,list item,False,True,"[72,243]","[390,292]"
Text:Tunisia Dinar.png,Text,Tunisia Dinar,text,False,True,"[89,251]","[372,279]"
ListItem:Turkey Lira.png,ListItem,Turkey Lira,list item,False,True,"[72,292]","[390,341]"
Text:Turkey Lira.png,Text,Turkey Lira,text,False,True,"[89,300]","[372,328]"
ListItem:Turkmenistan Manat.png,ListItem,Turkmenistan Manat,list item,False,True,"[72,341]","[390,390]"
Text:Turkmenistan Manat.png,Text,Turkmenistan Manat,text,False,True,"[89,349]","[372,377]"
ListItem:Uganda Shilling.png,ListItem,Uganda Shilling,list item,False,True,"[72,390]","[390,439]"
Text:Uganda Shilling.png,Text,Uganda Shilling,text,False,True,"[89,398]","[372,426]"
ListItem:Ukraine Hryvna.png,ListItem,Ukraine Hryvna,list item,False,True,"[72,439]","[390,488]"
Text:Ukraine Hryvna.png,Text,Ukraine Hryvna,text,False,True,"[89,447]","[372,475]"
ListItem:United Arab Emirates Dirham.png,ListItem,United Arab Emirates Dirham,list item,False,True,"[72,488]","[390,537]"
Text:United Arab Emirates Dirham.png,Text,United Arab Emirates Dirham,text,False,True,"[89,496]","[372,524]"
ListItem:United Kingdom Pound.png,ListItem,United Kingdom Pound,list item,False,True,"[72,537]","[390,586]"
