filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Word.png,Window,Word,window,False,False,"[0,0]","[1942,1042]"
Window-Word Options.png,Window,Word Options,window,False,True,"[341,11]","[1601,1031]"
Window-Trust Center.png,Window,Trust Center,window,False,True,"[366,11]","[1606,1021]"
Pane-.png,Pane,,Pane,False,True,"[367,56]","[1605,1020]"
Group-Trust Center.png,Group,Trust Center,Group,False,True,"[367,56]","[1605,1020]"
List-Categories.png,List,Categories,List,False,True,"[376,67]","[603,967]"
ListItem-Trusted Publishers.png,ListItem,Trusted Publishers,List Item,False,False,"[377,68]","[602,109]"
ListItem-Trusted Locations.png,ListItem,Trusted Locations,List Item,False,False,"[377,109]","[602,150]"
ListItem-Trusted Documents.png,ListItem,Trusted Documents,List Item,False,False,"[377,150]","[602,191]"
ListItem-Trusted Add-in Catalogs.png,ListItem,Trusted Add-in Catalogs,List Item,False,False,"[377,191]","[602,232]"
ListItem-Add-ins.png,ListItem,Add-ins,List Item,False,False,"[377,232]","[602,273]"
ListItem-ActiveX Settings.png,ListItem,ActiveX Settings,List Item,False,False,"[377,273]","[602,314]"
ListItem-Macro Settings.png,ListItem,Macro Settings,List Item,False,False,"[377,314]","[602,355]"
ListItem-Protected View.png,ListItem,Protected View,List Item,False,False,"[377,355]","[602,396]"
ListItem-Message Bar.png,ListItem,Message Bar,List Item,False,False,"[377,396]","[602,437]"
ListItem-File Block Settings.png,ListItem,File Block Settings,List Item,False,False,"[377,437]","[602,478]"
ListItem-Privacy Options.png,ListItem,Privacy Options,List Item,False,False,"[377,478]","[602,519]"
ListItem-Form-based Sign-in.png,ListItem,Form-based Sign-in,List Item,False,False,"[377,519]","[602,560]"
Pane-ActiveX Settings.png,Pane,ActiveX Settings,Pane,False,False,"[612,67]","[1596,967]"
Text-ActiveX Settings for all Office Applications.png,Text,ActiveX Settings for all Office Applications,Text,False,False,"[632,86]","[1576,123]"
Group-ActiveX Settings for all Office Applications.png,Group,ActiveX Settings for all Office Applications,Group,False,False,"[632,137]","[1576,389]"
Group-.png,Group,,Group,False,False,"[679,142]","[1576,325]"
RadioButton-Disable all controls without notification.png,RadioButton,Disable all controls without notification,Radio Button,False,False,"[679,142]","[1019,173]"
RadioButton-Prompt me before enabling Unsafe for Initialization (UFI) controls with additional restrictions and Safe for Initialization (SFI) controls with minimal restrictions.png,RadioButton,Prompt me before enabling Unsafe for Initialization (UFI) controls with additional restrictions and Safe for Initialization (SFI) controls with minimal restrictions,Radio Button,False,False,"[679,178]","[1547,231]"
RadioButton-Prompt me before enabling all controls with minimal restrictions.png,RadioButton,Prompt me before enabling all controls with minimal restrictions,Radio Button,False,False,"[679,236]","[1219,267]"
RadioButton-Enable all controls without restrictions and without prompting (not recommended; potentially dangerous controls can run).png,RadioButton,Enable all controls without restrictions and without prompting (not recommended; potentially dangerous controls can run),Radio Button,False,False,"[679,272]","[1546,325]"
CheckBox-Safe mode (helps limit the control’s access to your computer).png,CheckBox,Safe mode (helps limit the control’s access to your computer),CheckBox,False,False,"[651,358]","[1168,389]"
Button-OK.png,Button,OK,Button,False,False,"[1356,972]","[1469,1009]"
Button-Cancel.png,Button,Cancel,Button,False,False,"[1483,972]","[1596,1009]"
Thumb-Size box.png,Thumb,Size box,Thumb,False,False,"[1586,997]","[1605,1020]"
TitleBar-.png,TitleBar,,title bar,False,False,"[367,14]","[1605,56]"
Button-Context help.png,Button,Context help,button,False,True,"[1464,12]","[1535,56]"
Button-Close.png,Button,Close,button,False,True,"[1535,12]","[1606,56]"
Pane-.png,Pane,,Pane,False,True,"[343,56]","[1599,1029]"
Group-Word Options.png,Group,Word Options,Group,False,True,"[343,56]","[1599,1029]"
List-Categories.png,List,Categories,List,False,True,"[352,67]","[555,976]"
ListItem-General.png,ListItem,General,List Item,False,False,"[353,68]","[554,109]"
ListItem-Display.png,ListItem,Display,List Item,False,False,"[353,109]","[554,150]"
ListItem-Proofing.png,ListItem,Proofing,List Item,False,False,"[353,150]","[554,191]"
ListItem-Save.png,ListItem,Save,List Item,False,False,"[353,191]","[554,232]"
ListItem-Language.png,ListItem,Language,List Item,False,False,"[353,232]","[554,273]"
ListItem-Ease of Access.png,ListItem,Ease of Access,List Item,False,False,"[353,273]","[554,314]"
ListItem-Advanced.png,ListItem,Advanced,List Item,False,False,"[353,314]","[554,358]"
ListItem-Customize Ribbon.png,ListItem,Customize Ribbon,List Item,False,False,"[353,358]","[554,399]"
ListItem-Quick Access Toolbar.png,ListItem,Quick Access Toolbar,List Item,False,False,"[353,399]","[554,443]"
ListItem-Add-ins.png,ListItem,Add-ins,List Item,False,False,"[353,443]","[554,484]"
ListItem-Trust Center.png,ListItem,Trust Center,List Item,False,False,"[353,484]","[554,525]"
Pane-Trust Center.png,Pane,Trust Center,Pane,False,True,"[564,67]","[1590,976]"
Text-Help keep your documents safe and your computer secure and healthy..png,Text,Help keep your documents safe and your computer secure and healthy.,Text,False,True,"[651,72]","[1589,128]"
Text-Security & more.png,Text,Security & more,Text,False,True,"[584,156]","[1570,193]"
Group-Security & more.png,Group,Security & more,Group,False,True,"[584,207]","[1570,283]"
Text-Visit Office.com to learn more about protecting your privacy and security..png,Text,Visit Office.com to learn more about protecting your privacy and security.,Text,False,True,"[603,207]","[1186,251]"
HyperLink-Microsoft Trust Center.png,HyperLink,Microsoft Trust Center,Hyperlink,False,True,"[622,256]","[802,283]"
Text-Microsoft Word Trust Center.png,Text,Microsoft Word Trust Center,Text,False,True,"[584,308]","[1570,345]"
Group-Microsoft Word Trust Center.png,Group,Microsoft Word Trust Center,Group,False,True,"[584,359]","[1570,428]"
Text-The Trust Center contains security and privacy settings. These settings help keep your computer secure. We recommend that you do not change these settings..png,Text,The Trust Center contains security and privacy settings. These settings help keep your computer secure. We recommend that you do not change these settings.,Text,False,True,"[603,359]","[1281,428]"
Button-Trust Center Settings....png,Button,Trust Center Settings...,Button,False,True,"[1368,375]","[1570,412]"
Button-OK.png,Button,OK,Button,False,False,"[1350,981]","[1463,1018]"
Button-Cancel.png,Button,Cancel,Button,False,False,"[1477,981]","[1590,1018]"
Thumb-Size box.png,Thumb,Size box,Thumb,False,False,"[1580,1006]","[1599,1029]"
TitleBar-.png,TitleBar,,title bar,False,False,"[352,22]","[1590,56]"
Button-Context help.png,Button,Context help,button,False,True,"[1523,21]","[1558,56]"
Button-Close.png,Button,Close,button,False,True,"[1556,21]","[1591,56]"
Pane-DropShadowTop.png,Pane,DropShadowTop,pane,False,True,"[11,160]","[1931,169]"
