filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window:Calculator.png,Window,Calculator,window,False,False,"[69,197]","[551,997]"
Window:Pop-upHost.png,Window,Pop-upHost,window,False,False,"[70,192]","[237,591]"
Window:Pop-up.png,Window,Pop-up,window,False,False,"[70,0]","[1990,1020]"
Button:Close.png,Button,Close,button,False,True,"[70,0]","[1990,1020]"
ComboBox:Input unit.png,ComboBox,Input unit,combo box,False,True,"[70,390]","[194,438]"
ListItem:Microseconds.png,ListItem,Microseconds,list item,False,True,"[72,194]","[235,243]"
Text:Microseconds.png,Text,Microseconds,text,False,True,"[89,201]","[218,229]"
ListItem:Milliseconds.png,ListItem,Milliseconds,list item,False,True,"[72,243]","[235,292]"
Text:Milliseconds.png,Text,Milliseconds,text,False,True,"[89,250]","[218,278]"
ListItem:Seconds.png,ListItem,Seconds,list item,False,True,"[72,292]","[235,340]"
Text:Seconds.png,Text,Seconds,text,False,True,"[89,300]","[218,327]"
ListItem:Minutes.png,ListItem,Minutes,list item,False,True,"[72,341]","[235,390]"
Text:Minutes.png,Text,Minutes,text,False,True,"[89,349]","[218,377]"
ListItem:Hours.png,ListItem,Hours,list item,False,True,"[72,390]","[235,439]"
Text:Hours.png,Text,Hours,text,False,True,"[89,398]","[218,426]"
ListItem:Days.png,ListItem,Days,list item,False,True,"[72,438]","[235,487]"
Text:Days.png,Text,Days,text,False,True,"[89,446]","[218,474]"
ListItem:Weeks.png,ListItem,Weeks,list item,False,True,"[72,488]","[235,537]"
Text:Weeks.png,Text,Weeks,text,False,True,"[89,496]","[218,524]"
ListItem:Years.png,ListItem,Years,list item,False,True,"[72,537]","[235,586]"
Text:Years.png,Text,Years,text,False,True,"[89,545]","[218,573]"
Button:Close.png,Button,Close,button,False,True,"[70,0]","[1990,1020]"
Text:Converts into 0 Minutes.png,Text,Converts into 0 Minutes,text,False,True,"[70,438]","[133,522]"
ComboBox:Output unit.png,ComboBox,Output unit,combo box,False,True,"[70,522]","[214,570]"
ListItem:Minutes.png,ListItem,Minutes,list item,False,True,"[70,522]","[166,570]"
Text:Minutes.png,Text,Minutes,text,False,True,"[70,522]","[166,570]"
Group:Display controls.png,Group,Display controls,group,False,True,"[234,644]","[544,711]"
Button:Clear entry.png,Button,Clear entry,button,False,True,"[234,644]","[387,711]"
Button:Backspace.png,Button,Backspace,button,False,True,"[390,644]","[544,711]"
Group:Number pad.png,Group,Number pad,group,False,True,"[77,714]","[544,991]"
Button:Zero.png,Button,Zero,button,False,True,"[233,924]","[387,991]"
Button:One.png,Button,One,button,False,True,"[77,854]","[231,921]"
Button:Two.png,Button,Two,button,False,True,"[233,854]","[387,921]"
Button:Three.png,Button,Three,button,False,True,"[390,854]","[544,921]"
Button:Four.png,Button,Four,button,False,True,"[77,784]","[231,851]"
Button:Five.png,Button,Five,button,False,True,"[233,784]","[387,851]"
Button:Six.png,Button,Six,button,False,True,"[390,784]","[544,851]"
Button:Seven.png,Button,Seven,button,False,True,"[77,714]","[231,781]"
Button:Eight.png,Button,Eight,button,False,True,"[233,714]","[387,781]"
Button:Nine.png,Button,Nine,button,False,True,"[390,714]","[544,781]"
Button:Decimal Separator.png,Button,Decimal Separator,button,False,True,"[390,924]","[544,991]"
Window:Calculator.png,Window,Calculator,,False,True,"[268,198]","[550,246]"
MenuBar:System.png,MenuBar,System,menu bar,False,True,"[0,149]","[0,149]"
MenuItem:System.png,MenuItem,System,menu item,False,True,"[0,149]","[0,149]"
Button:Minimise Calculator.png,Button,Minimise Calculator,button,False,True,"[343,198]","[412,246]"
Button:Maximise Calculator.png,Button,Maximise Calculator,button,False,True,"[412,198]","[481,246]"
Button:Close Calculator.png,Button,Close Calculator,button,False,True,"[481,198]","[550,246]"
Window:Calculator.png,Window,Calculator,window,False,True,"[70,198]","[550,996]"
Text:Calculator.png,Text,Calculator,text,False,True,"[88,210]","[167,234]"
Group:.png,Group,,group,False,True,"[70,306]","[544,991]"
ProgressBar:Not busy….png,ProgressBar,Not busy…,progress ring,True,True,"[0,149]","[0,149]"
Text:Convert from 0 Hours.png,Text,Convert from 0 Hours,text,False,True,"[70,306]","[135,390]"
ComboBox:Input unit.png,ComboBox,Input unit,combo box,False,True,"[70,390]","[194,438]"
ListItem:Microseconds.png,ListItem,Microseconds,list item,False,True,"[72,194]","[235,243]"
Text:Microseconds.png,Text,Microseconds,text,False,True,"[89,201]","[218,229]"
ListItem:Milliseconds.png,ListItem,Milliseconds,list item,False,True,"[72,243]","[235,292]"
Text:Milliseconds.png,Text,Milliseconds,text,False,True,"[89,250]","[218,278]"
ListItem:Seconds.png,ListItem,Seconds,list item,False,True,"[72,292]","[235,340]"
Text:Seconds.png,Text,Seconds,text,False,True,"[89,300]","[218,327]"
ListItem:Minutes.png,ListItem,Minutes,list item,False,True,"[72,341]","[235,390]"
Text:Minutes.png,Text,Minutes,text,False,True,"[89,349]","[218,377]"
ListItem:Hours.png,ListItem,Hours,list item,False,True,"[72,390]","[235,439]"
Text:Hours.png,Text,Hours,text,False,True,"[89,398]","[218,426]"
ListItem:Days.png,ListItem,Days,list item,False,True,"[72,438]","[235,487]"
Text:Days.png,Text,Days,text,False,True,"[89,446]","[218,474]"
ListItem:Weeks.png,ListItem,Weeks,list item,False,True,"[72,488]","[235,537]"
Text:Weeks.png,Text,Weeks,text,False,True,"[89,496]","[218,524]"
ListItem:Years.png,ListItem,Years,list item,False,True,"[72,537]","[235,586]"
