filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Word.png,Window,Word,window,False,False,"[0,0]","[1942,1042]"
Window-Accounts.png,Window,Accounts,window,False,False,"[623,94]","[1319,949]"
Pane-.png,Pane,,Pane,False,False,"[625,139]","[1317,947]"
Custom-Accounts.png,Custom,Accounts,Custom Control,False,False,"[625,139]","[1317,947]"
Pane-Choose sign in type.png,Pane,Choose sign in type,Pane,False,False,"[625,139]","[1317,947]"
Pane-.png,Pane,,pane,False,False,"[625,139]","[1317,947]"
Pane-.png,Pane,,pane,False,False,"[625,139]","[1317,947]"
Pane-https://odc.officeapps.live.com/odc/v2.1/hrd?lcid=1033&syslcid=8192&uilcid=1033&app=0&ver=16&build=16.0.14228&p=0&a=1&hm=6&idp=live&sp=0&fpEnabled=1.png,Pane,https://odc.officeapps.live.com/odc/v2.1/hrd?lcid=1033&syslcid=8192&uilcid=1033&app=0&ver=16&build=16.0.14228&p=0&a=1&hm=6&idp=live&sp=0&fpEnabled=1,pane,False,False,"[625,139]","[1317,947]"
Pane-Sign in.png,Pane,Sign in,pane,False,False,"[625,139]","[1317,140]"
Text-Add a service.png,Text,Add a service,text,False,False,"[704,272]","[922,314]"
"Edit-Email, phone, or Skype.png",Edit,"Email, phone, or Skype",edit,False,False,"[707,338]","[1235,392]"
HyperLink-Create a Microsoft account.png,HyperLink,Create a Microsoft account,link,False,False,"[820,418]","[919,444]"
Text-Create one!.png,Text,Create one!,text,False,False,"[820,416]","[919,446]"
Button-Next.png,Button,Next,button,False,False,"[1076,532]","[1238,580]"
Text-©2021 Microsoft.png,Text,©2021 Microsoft,text,False,False,"[637,905]","[772,947]"
HyperLink-Privacy statement.png,HyperLink,Privacy statement,link,False,False,"[796,905]","[936,947]"
Text-Privacy statement.png,Text,Privacy statement,text,False,False,"[796,905]","[936,947]"
TitleBar-.png,TitleBar,,title bar,False,False,"[634,105]","[1308,139]"
Button-Close.png,Button,Close,button,False,False,"[1274,104]","[1309,139]"
Pane-.png,Pane,,pane,False,True,"[11,11]","[1931,1031]"
Pane-.png,Pane,,Pane,False,True,"[11,11]","[1931,1031]"
Pane-.png,Pane,,Pane,False,False,"[11,66]","[221,1031]"
List-File.png,List,File,List,False,False,"[11,66]","[221,1031]"
ListItem-Home.png,ListItem,Home,List Item,False,False,"[11,134]","[221,326]"
ListItem-New.png,ListItem,New,List Item,False,False,"[11,326]","[221,518]"
ListItem-Open.png,ListItem,Open,List Item,False,False,"[11,518]","[221,710]"
ListItem-Account.png,ListItem,Account,List Item,False,False,"[11,824]","[221,885]"
ListItem-Feedback.png,ListItem,Feedback,List Item,False,False,"[11,885]","[221,946]"
ListItem-Options.png,ListItem,Options,List Item,False,False,"[11,946]","[221,1007]"
TitleBar-Word.png,TitleBar,Word,Title Bar,False,True,"[221,11]","[1372,62]"
MenuItem-Marko Savic.png,MenuItem,Marko Savic,Menu Item,False,True,"[1372,11]","[1559,58]"
Image-Marko Savic.png,Image,Marko Savic,Image,False,True,"[1505,16]","[1541,52]"
Button-Help.png,Button,Help,Button,False,True,"[1655,11]","[1724,58]"
Button-Minimize.png,Button,Minimize,Button,False,True,"[1724,11]","[1793,58]"
Button-Restore Down.png,Button,Restore Down,Button,False,True,"[1793,11]","[1862,58]"
Button-Close.png,Button,Close,Button,False,True,"[1862,11]","[1931,58]"
Pane-Backstage view.png,Pane,Backstage view,Pane,False,True,"[221,67]","[1931,1031]"
Group-Open.png,Group,Open,Group,False,True,"[221,67]","[1931,1031]"
Text-Open.png,Text,Open,Text,False,False,"[281,67]","[425,172]"
Group-Open.png,Group,Open,Group,False,True,"[281,172]","[756,1000]"
Pane-.png,Pane,,Pane,False,True,"[282,178]","[756,999]"
Menu-Open.png,Menu,Open,Menu,False,True,"[282,178]","[756,999]"
Group-.png,Group,,Group,False,True,"[282,178]","[756,811]"
TabItem-Recent.png,TabItem,Recent,Tab Item,False,True,"[282,178]","[756,260]"
TabItem-Shared with Me.png,TabItem,Shared with Me,Tab Item,False,True,"[282,265]","[756,331]"
TabItem-OneDrive - Oulun yliopisto - msavic21@univ.yo.oulu.fi.png,TabItem,OneDrive - Oulun yliopisto - msavic21@univ.yo.oulu.fi,Tab Item,False,True,"[282,336]","[756,460]"
Group-.png,Group,,Group,False,False,"[290,336]","[398,366]"
TabItem-Sites - Oulun yliopisto - msavic21@univ.yo.oulu.fi.png,TabItem,Sites - Oulun yliopisto - msavic21@univ.yo.oulu.fi,Tab Item,False,True,"[282,465]","[756,554]"
TabItem-This PC.png,TabItem,This PC,Tab Item,False,True,"[282,559]","[756,660]"
Group-.png,Group,,Group,False,False,"[290,559]","[398,589]"
TabItem-Add a Place.png,TabItem,Add a Place,Tab Item,False,True,"[282,665]","[756,731]"
Button-Browse.png,Button,Browse,Button,False,True,"[282,736]","[756,802]"
Pane-.png,Pane,,Pane,False,True,"[756,172]","[1930,1000]"
Group-Add a Place.png,Group,Add a Place,Group,False,True,"[801,178]","[1870,454]"
Text-Add a Place.png,Text,Add a Place,Text,False,True,"[808,178]","[971,223]"
Text-You can add locations to make it easier to save Office documents to the cloud..png,Text,You can add locations to make it easier to save Office documents to the cloud.,Text,False,True,"[808,223]","[1431,248]"
List-Add a Place.png,List,Add a Place,List,False,True,"[808,283]","[1848,451]"
ListItem-OneDrive.png,ListItem,OneDrive,List Item,False,True,"[808,283]","[1848,367]"
ListItem-OneDrive for Business.png,ListItem,OneDrive for Business,List Item,False,True,"[808,367]","[1848,451]"
Pane-.png,Pane,,pane,False,True,"[536,160]","[1931,998]"
TitleBar-.png,TitleBar,,title bar,False,False,"[44,11]","[1931,45]"
MenuBar-System.png,MenuBar,System,menu bar,False,False,"[11,11]","[33,33]"
MenuItem-System.png,MenuItem,System,menu item,False,False,"[11,11]","[33,33]"
Button-Minimise.png,Button,Minimise,button,False,False,"[1831,10]","[1866,45]"
Button-Restore.png,Button,Restore,button,False,False,"[1864,10]","[1899,45]"
Button-Close.png,Button,Close,button,False,False,"[1897,10]","[1932,45]"
