filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Calculator.png,Window,Calculator,window,False,False,"[69,48]","[551,848]"
Window-Calculator.png,Window,Calculator,,False,True,"[268,49]","[550,97]"
MenuBar-System.png,MenuBar,System,menu bar,False,True,"[0,0]","[0,0]"
MenuItem-System.png,MenuItem,System,menu item,False,True,"[0,0]","[0,0]"
Button-Minimise Calculator.png,Button,Minimise Calculator,button,False,True,"[343,49]","[412,97]"
Button-Maximise Calculator.png,Button,Maximise Calculator,button,False,True,"[412,49]","[481,97]"
Button-Close Calculator.png,Button,Close Calculator,button,False,True,"[481,49]","[550,97]"
Window-Calculator.png,Window,Calculator,window,False,True,"[70,49]","[550,847]"
Window-Pop-up.png,Window,Pop-up,window,True,True,"[0,0]","[0,0]"
Pane-.png,Pane,,pane,False,True,"[202,431]","[500,582]"
Button-Absolute Value.png,Button,Absolute Value,button,False,False,"[208,437]","[301,506]"
Button-Floor.png,Button,Floor,button,False,False,"[304,437]","[398,506]"
Button-Ceiling.png,Button,Ceiling,button,False,False,"[401,437]","[495,506]"
Button-Random.png,Button,Random,button,False,False,"[208,509]","[301,577]"
Button-Degree Minute Second.png,Button,Degree Minute Second,button,False,False,"[304,509]","[398,577]"
Button-Degrees.png,Button,Degrees,button,False,False,"[401,509]","[495,577]"
Button-Close.png,Button,Close,button,False,False,"[70,49]","[550,847]"
Text-Calculator.png,Text,Calculator,text,False,False,"[88,61]","[167,85]"
Group-.png,Group,,group,False,True,"[70,97]","[550,841]"
Text-Expression is .png,Text,Expression is ,text,True,True,"[0,0]","[0,0]"
Text-Display is 0.png,Text,Display is 0,text,False,True,"[70,191]","[550,263]"
Button-Open history flyout.png,Button,Open history flyout,button,False,True,"[490,97]","[550,157]"
Group-Angle operators.png,Group,Angle operators,group,False,True,"[77,265]","[230,317]"
Button-Degrees toggle.png,Button,Degrees toggle,button,False,True,"[77,265]","[152,317]"
Button-Scientific notation.png,Button,Scientific notation,button,False,True,"[155,265]","[230,317]"
Group-Memory controls.png,Group,Memory controls,group,False,True,"[77,320]","[545,372]"
Button-Clear all memory.png,Button,Clear all memory,button,False,True,"[77,320]","[152,372]"
Button-Memory Recall.png,Button,Memory Recall,button,False,True,"[155,320]","[230,372]"
Button-Memory Add.png,Button,Memory Add,button,False,True,"[233,320]","[309,372]"
Button-Memory Subtract.png,Button,Memory Subtract,button,False,True,"[312,320]","[387,372]"
Button-Memory Store.png,Button,Memory Store,button,False,True,"[390,320]","[466,372]"
Button-Open memory flyout.png,Button,Open memory flyout,button,False,True,"[470,320]","[545,372]"
List-Scientific Operator Panels.png,List,Scientific Operator Panels,list,False,True,"[75,373]","[546,430]"
ListItem-Trigonometry.png,ListItem,Trigonometry,list item,False,True,"[75,373]","[271,430]"
Button-Trigonometry.png,Button,Trigonometry,button,False,True,"[76,374]","[269,428]"
Text-Trigonometry.png,Text,Trigonometry,text,False,True,"[126,389]","[232,412]"
ListItem-Functions.png,ListItem,Functions,list item,False,True,"[271,373]","[429,430]"
Button-Functions.png,Button,Functions,button,False,True,"[272,374]","[427,428]"
Text-Function.png,Text,Function,text,False,True,"[322,389]","[390,412]"
Button-Inverse Function.png,Button,Inverse Function,button,False,True,"[76,431]","[167,487]"
Button-Pi.png,Button,Pi,button,False,True,"[170,431]","[261,487]"
Button-Euler's number.png,Button,Euler's number,button,False,True,"[264,431]","[355,487]"
Group-Display controls.png,Group,Display controls,group,False,True,"[359,431]","[544,487]"
Button-Clear.png,Button,Clear,button,False,True,"[359,431]","[450,487]"
Button-Backspace.png,Button,Backspace,button,False,True,"[453,431]","[544,487]"
Group-Scientific functions.png,Group,Scientific functions,group,False,True,"[76,490]","[167,841]"
Button-Square.png,Button,Square,button,False,True,"[76,490]","[167,546]"
Button-Square root.png,Button,Square root,button,False,True,"[76,549]","[167,604]"
Button-'X' to the exponent.png,Button,'X' to the exponent,button,False,True,"[76,608]","[167,664]"
Button-Ten to the exponent.png,Button,Ten to the exponent,button,False,True,"[76,667]","[167,723]"
Button-Log.png,Button,Log,button,False,True,"[76,726]","[167,782]"
Button-Natural log.png,Button,Natural log,button,False,True,"[76,785]","[167,841]"
Button-Reciprocal.png,Button,Reciprocal,button,False,True,"[170,490]","[261,546]"
Button-Absolute Value.png,Button,Absolute Value,button,False,True,"[264,490]","[355,546]"
Button-Exponential.png,Button,Exponential,button,False,True,"[359,490]","[450,546]"
Button-Modulo.png,Button,Modulo,button,False,True,"[453,490]","[544,546]"
Button-Left parenthesis.png,Button,Left parenthesis,button,False,True,"[170,549]","[261,604]"
Button-Right parenthesis.png,Button,Right parenthesis,button,False,True,"[264,549]","[355,604]"
Button-Factorial.png,Button,Factorial,button,False,True,"[359,549]","[450,604]"
Group-Standard operators.png,Group,Standard operators,group,False,True,"[453,549]","[544,840]"
Button-Divide by.png,Button,Divide by,button,False,True,"[453,549]","[544,604]"
Button-Multiply by.png,Button,Multiply by,button,False,True,"[453,608]","[544,664]"
Button-Minus.png,Button,Minus,button,False,True,"[453,667]","[544,723]"
Button-Plus.png,Button,Plus,button,False,True,"[453,726]","[544,782]"
Button-Equals.png,Button,Equals,button,False,True,"[453,785]","[544,841]"
Button-Positive Negative.png,Button,Positive Negative,button,False,True,"[170,785]","[261,841]"
Group-Number pad.png,Group,Number pad,group,False,True,"[170,608]","[449,841]"
Button-Zero.png,Button,Zero,button,False,True,"[264,785]","[355,841]"
Button-One.png,Button,One,button,False,True,"[170,726]","[261,782]"
Button-Two.png,Button,Two,button,False,True,"[264,726]","[355,782]"
Button-Three.png,Button,Three,button,False,True,"[359,726]","[450,782]"
Button-Four.png,Button,Four,button,False,True,"[170,667]","[261,723]"
Button-Five.png,Button,Five,button,False,True,"[264,667]","[355,723]"
Button-Six.png,Button,Six,button,False,True,"[359,667]","[450,723]"
Button-Seven.png,Button,Seven,button,False,True,"[170,608]","[261,664]"
Button-Eight.png,Button,Eight,button,False,True,"[264,608]","[355,664]"
Button-Nine.png,Button,Nine,button,False,True,"[359,608]","[450,664]"
Button-Decimal Separator.png,Button,Decimal Separator,button,False,True,"[359,785]","[450,841]"
Text-Scientific Calculator mode.png,Text,Scientific Calculator mode,text,False,False,"[142,105]","[265,145]"
Custom-.png,Custom,,custom,False,True,"[70,97]","[550,847]"
Button-Open Navigation.png,Button,Open Navigation,button,False,True,"[70,97]","[130,157]"
Text-.png,Text,,text,True,True,"[0,0]","[0,0]"
Pane-.png,Pane,,pane,False,True,"[70,97]","[550,847]"
