filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Oracle VM VirtualBox Manager.png,Window,Oracle VM VirtualBox Manager,window,False,False,"[481,183]","[1451,777]"
Window-Import Virtual Appliance.png,Window,Import Virtual Appliance,window,False,False,"[361,4]","[1571,993]"
TitleBar-.png,TitleBar,,title bar,True,True,"[0,-40]","[0,-40]"
MenuBar-System.png,MenuBar,System,menu bar,True,False,"[241,-3]","[263,19]"
MenuItem-System.png,MenuItem,System,menu item,True,False,"[241,-3]","[263,19]"
Button-Context help.png,Button,Context help,button,False,False,"[1429,5]","[1500,49]"
Button-Close.png,Button,Close,button,False,False,"[1500,5]","[1571,49]"
Custom-.png,Custom,,,False,False,"[362,110]","[1570,992]"
Button-Import Enter.png,Button,Import Enter,button,False,False,"[1320,940]","[1432,974]"
Custom-.png,Custom,,,False,False,"[362,132]","[1570,914]"
Custom-.png,Custom,,,False,False,"[398,132]","[1570,914]"
Group-Appliance to import.png,Group,Appliance to import,group,False,False,"[410,144]","[1558,230]"
Custom-Appliance to import.png,Custom,Appliance to import,,False,False,"[424,178]","[1544,216]"
Button-.png,Button,,button,False,False,"[1506,178]","[1544,214]"
Edit-.png,Edit,,edit,False,False,"[424,178]","[1498,216]"
Group-Appliance settings.png,Group,Appliance settings,group,False,False,"[410,238]","[1558,902]"
Custom-Appliance settings.png,Custom,Appliance settings,,False,False,"[424,272]","[1544,888]"
Custom-.png,Custom,,,False,False,"[424,272]","[1544,656]"
List-Detailed list of all components of all virtual machines of the current appliance Detailed list of all components of all virtual machines of the current appliance.png,List,Detailed list of all components of all virtual machines of the current appliance Detailed list of all components of all virtual machines of the current appliance,list,False,False,"[424,272]","[1544,656]"
Custom-.png,Custom,,,False,False,"[424,664]","[1544,760]"
Edit-.png,Edit,,edit,False,False,"[424,664]","[1544,760]"
Custom-.png,Custom,,,False,False,"[424,664]","[1544,760]"
ToolBar-.png,ToolBar,,tool bar,False,False,"[424,768]","[1544,806]"
Edit-.png,Edit,,edit,False,False,"[462,774]","[1506,800]"
ComboBox- Down.png,ComboBox, Down,combo box,False,False,"[424,768]","[1544,806]"
List-.png,List,,list,True,True,"[0,-40]","[0,-40]"
ListItem-C:\Users\watas\VirtualBox VMs.png,ListItem,C:\Users\watas\VirtualBox VMs,list item,True,False,"[2,-38]","[172,-14]"
ListItem-Other....png,ListItem,Other...,list item,True,False,"[2,-14]","[172,10]"
ListItem-Reset.png,ListItem,Reset,list item,True,False,"[2,10]","[172,34]"
Edit-.png,Edit,,edit,False,False,"[462,774]","[1506,800]"
Text-MAC Address Policy:.png,Text,MAC Address Policy:,text,False,False,"[424,814]","[568,852]"
ComboBox-MAC Address Policy: Down.png,ComboBox,MAC Address Policy: Down,combo box,False,False,"[576,814]","[1544,852]"
List-.png,List,,list,True,True,"[0,-40]","[0,-40]"
ListItem-Include all network adapter MAC addresses.png,ListItem,Include all network adapter MAC addresses,list item,True,False,"[0,-40]","[1280,-20]"
ListItem-Include only NAT network adapter MAC addresses.png,ListItem,Include only NAT network adapter MAC addresses,list item,True,False,"[0,-20]","[1280,0]"
ListItem-Generate new MAC addresses for all network adapters.png,ListItem,Generate new MAC addresses for all network adapters,list item,False,False,"[0,0]","[1280,20]"
Text-Additional Options:.png,Text,Additional Options:,text,False,False,"[424,860]","[568,888]"
CheckBox-Import hard drives as VDI Alt+I.png,CheckBox,Import hard drives as VDI Alt+I,checkbox,False,False,"[576,860]","[792,888]"
Button-Cancel.png,Button,Cancel,button,False,False,"[1440,940]","[1552,974]"
Button-Guided Mode Alt+G.png,Button,Guided Mode Alt+G,button,False,False,"[1062,940]","[1174,974]"
Button-Restore Defaults.png,Button,Restore Defaults,button,False,False,"[1182,940]","[1312,974]"
Button-.png,Button,,button,False,False,"[362,58]","[410,106]"
TitleBar-.png,TitleBar,,title bar,False,False,"[506,186]","[1450,228]"
MenuBar-System.png,MenuBar,System,menu bar,True,False,"[321,116]","[343,138]"
MenuItem-System.png,MenuItem,System,menu item,True,False,"[321,116]","[343,138]"
Button-Minimise.png,Button,Minimise,button,False,True,"[1239,184]","[1310,228]"
Button-Maximise.png,Button,Maximise,button,False,True,"[1310,184]","[1380,228]"
Button-Close.png,Button,Close,button,False,True,"[1380,184]","[1451,228]"
MenuBar-.png,MenuBar,,menu bar,False,True,"[482,228]","[1450,264]"
MenuItem-File Alt+F.png,MenuItem,File Alt+F,menu item,False,True,"[482,228]","[542,262]"
MenuItem-Machine Alt+M.png,MenuItem,Machine Alt+M,menu item,False,True,"[542,228]","[642,262]"
MenuItem-Help Alt+H.png,MenuItem,Help Alt+H,menu item,False,True,"[642,228]","[712,262]"
Custom-.png,Custom,,,False,True,"[482,264]","[1450,776]"
SplitButton-.png,SplitButton,,split button,False,True,"[482,264]","[1450,776]"
Custom-.png,Custom,,,False,True,"[692,264]","[1450,776]"
ToolBar-.png,ToolBar,,tool bar,False,True,"[692,264]","[1450,352]"
Button-Preferences.png,Button,Preferences,button,False,True,"[692,264]","[802,352]"
Custom-.png,Custom,,,False,True,"[802,264]","[810,352]"
Button-Import.png,Button,Import,button,False,True,"[810,264]","[886,352]"
Button-Export.png,Button,Export,button,False,True,"[886,264]","[958,352]"
Custom-.png,Custom,,,False,True,"[958,264]","[966,352]"
Button-New.png,Button,New,button,False,True,"[966,264]","[1028,352]"
Button-Add.png,Button,Add,button,False,True,"[1028,264]","[1090,352]"
Pane-.png,Pane,,pane,False,True,"[692,352]","[1450,776]"
Custom-.png,Custom,,,False,True,"[692,352]","[1450,776]"
Custom-.png,Custom,,,False,True,"[692,352]","[1450,776]"
