filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Adobe Acrobat Reader DC (32-bit).png,Window,Adobe Acrobat Reader DC (32-bit),window,False,False,"[0,8]","[1920,1028]"
Menu-File.png,Menu,File,menu,False,False,"[0,71]","[533,875]"
MenuItem-Open... Ctrl+O.png,MenuItem,Open... Ctrl+O,menu item,False,False,"[3,74]","[530,123]"
MenuItem-Reopen PDFs from last session.png,MenuItem,Reopen PDFs from last session,menu item,False,False,"[3,123]","[530,165]"
MenuItem-Create PDF.png,MenuItem,Create PDF,menu item,False,False,"[3,165]","[530,207]"
MenuItem-Save As... Shift+Ctrl+S.png,MenuItem,Save As... Shift+Ctrl+S,menu item,False,False,"[3,223]","[530,265]"
"MenuItem-Convert to Word, Excel or PowerPoint.png",MenuItem,"Convert to Word, Excel or PowerPoint",menu item,False,False,"[3,265]","[530,307]"
MenuItem-Save as Text....png,MenuItem,Save as Text...,menu item,False,False,"[3,307]","[530,349]"
MenuItem-Compress File.png,MenuItem,Compress File,menu item,False,False,"[3,365]","[530,407]"
MenuItem-Password Protect.png,MenuItem,Password Protect,menu item,False,False,"[3,407]","[530,449]"
MenuItem-Request Signatures.png,MenuItem,Request Signatures,menu item,False,False,"[3,449]","[530,491]"
MenuItem-Share File.png,MenuItem,Share File,menu item,False,False,"[3,491]","[530,533]"
MenuItem-Close File Ctrl+W.png,MenuItem,Close File Ctrl+W,menu item,False,False,"[3,549]","[530,591]"
MenuItem-Properties... Ctrl+D.png,MenuItem,Properties... Ctrl+D,menu item,False,False,"[3,607]","[530,649]"
MenuItem-Print... Ctrl+P.png,MenuItem,Print... Ctrl+P,menu item,False,False,"[3,665]","[530,707]"
MenuItem-1 homeacrordrunified18_2018.png,MenuItem,1 homeacrordrunified18_2018,menu item,False,False,"[3,723]","[530,765]"
MenuItem-View All Recent Files....png,MenuItem,View All Recent Files...,menu item,False,False,"[3,765]","[530,807]"
MenuItem-Exit Application Ctrl+Q.png,MenuItem,Exit Application Ctrl+Q,menu item,False,False,"[3,823]","[530,872]"
Pane-TopTabBarContainerViewForDocs.png,Pane,TopTabBarContainerViewForDocs,pane,False,True,"[0,72]","[1920,126]"
Pane-AVHomeSearchBarView.png,Pane,AVHomeSearchBarView,pane,False,False,"[1278,78]","[1638,120]"
Edit-.png,Edit,,edit,False,False,"[1320,82]","[1596,115]"
Pane-AVUITopRightCommandCluster.png,Pane,AVUITopRightCommandCluster,pane,False,False,"[1638,73]","[1920,125]"
Pane-AVTabLinksContainerViewForDocs.png,Pane,AVTabLinksContainerViewForDocs,pane,False,True,"[0,72]","[1253,126]"
Pane-AVFlipContainerView.png,Pane,AVFlipContainerView,pane,False,True,"[0,126]","[1920,1028]"
Pane-AVDocumentMainView.png,Pane,AVDocumentMainView,pane,False,True,"[0,126]","[1920,1028]"
Pane-AVFlipContainerView.png,Pane,AVFlipContainerView,pane,False,True,"[0,126]","[1920,1028]"
Pane-AVScrollView.png,Pane,AVScrollView,pane,False,True,"[331,126]","[1920,983]"
Pane-AVRightContainerView.png,Pane,AVRightContainerView,pane,False,True,"[331,126]","[1894,983]"
ScrollBar-.png,ScrollBar,,scroll bar,False,False,"[1894,126]","[1920,983]"
Button-Line up.png,Button,Line up,button,False,False,"[1894,126]","[1920,152]"
Thumb-Position.png,Thumb,Position,thumb,False,False,"[1894,152]","[1920,928]"
Button-Page down.png,Button,Page down,button,False,False,"[1894,928]","[1920,957]"
Button-Line down.png,Button,Line down,button,False,False,"[1894,957]","[1920,983]"
Pane-AVScrollView.png,Pane,AVScrollView,pane,False,True,"[0,126]","[330,1028]"
Pane-AVLeftContainerView.png,Pane,AVLeftContainerView,pane,False,True,"[0,126]","[330,1028]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,True,"[24,816]","[306,864]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,True,"[24,762]","[306,810]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,True,"[24,672]","[306,720]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,True,"[24,618]","[306,666]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,True,"[24,564]","[306,612]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,True,"[24,492]","[306,540]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,True,"[24,438]","[306,486]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,True,"[24,384]","[306,432]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,True,"[24,330]","[306,378]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,True,"[24,258]","[306,306]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,True,"[24,204]","[306,252]"
Pane-AVLeftRailEntryContainerView.png,Pane,AVLeftRailEntryContainerView,pane,False,True,"[24,150]","[306,198]"
TitleBar-.png,TitleBar,,title bar,False,False,"[24,0]","[1920,42]"
MenuBar-System.png,MenuBar,System,menu bar,False,False,"[0,8]","[33,41]"
MenuItem-System.png,MenuItem,System,menu item,False,False,"[0,8]","[33,41]"
Button-Minimise.png,Button,Minimise,button,False,False,"[1707,19]","[1778,41]"
Button-Restore.png,Button,Restore,button,False,False,"[1778,19]","[1848,41]"
Button-Close.png,Button,Close,button,False,False,"[1848,19]","[1931,41]"
MenuBar-Application.png,MenuBar,Application,menu bar,False,False,"[0,42]","[1920,71]"
MenuItem-File.png,MenuItem,File,menu item,False,False,"[0,42]","[46,71]"
MenuItem-Edit.png,MenuItem,Edit,menu item,False,False,"[46,42]","[96,71]"
MenuItem-View.png,MenuItem,View,menu item,False,False,"[96,42]","[153,71]"
MenuItem-Sign.png,MenuItem,Sign,menu item,False,False,"[153,42]","[208,71]"
MenuItem-Window.png,MenuItem,Window,menu item,False,False,"[208,42]","[294,71]"
MenuItem-Help.png,MenuItem,Help,menu item,False,False,"[294,42]","[351,71]"
