filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window:Word.png,Window,Word,window,False,False,"[30,56]","[1470,792]"
Window:Sign in to set up Office.png,Window,Sign in to set up Office,window,False,False,"[0,0]","[1501,901]"
Pane:.png,Pane,,Pane,False,False,"[2,45]","[1499,899]"
Custom:Sign in to set up Office.png,Custom,Sign in to set up Office,Custom Control,False,False,"[2,45]","[1499,899]"
Image:Microsoft Logo.png,Image,Microsoft Logo,Image,False,False,"[225,86]","[387,122]"
Button:Send a Smile.png,Button,Send a Smile,Button,False,False,"[1189,86]","[1225,122]"
Image:.png,Image,,Image,False,False,"[1189,86]","[1225,122]"
Button:Send a Frown.png,Button,Send a Frown,Button,False,False,"[1239,86]","[1275,122]"
Image:.png,Image,,Image,False,False,"[1239,86]","[1275,122]"
Text:Sign in to set up Office.png,Text,Sign in to set up Office,Text,False,False,"[457,147]","[1042,228]"
Image:Sign in.png,Image,Sign in,Image,False,False,"[394,306]","[538,450]"
Text:Use your regular email address.png,Text,Use your regular email address,Text,False,False,"[354,469]","[579,517]"
Image:Cloud Storage.png,Image,Cloud Storage,Image,False,False,"[677,306]","[821,450]"
Text:Get free cloud storage.png,Text,Get free cloud storage,Text,False,False,"[637,469]","[862,494]"
Image:Install.png,Image,Install,Image,False,False,"[960,306]","[1104,450]"
Text:Use your account to install Office on other devices.png,Text,Use your account to install Office on other devices,Text,False,False,"[920,469]","[1145,517]"
"Text:Sign in with your work, school, or personal Microsoft account.png",Text,"Sign in with your work, school, or personal Microsoft account",Text,False,False,"[461,625]","[1039,655]"
Button:Sign in.png,Button,Sign in,Button,False,False,"[421,673]","[721,727]"
Button:Create account.png,Button,Create account,Button,False,False,"[779,673]","[1079,727]"
HyperLink:I have a product key.png,HyperLink,I have a product key,Hyperlink,False,False,"[667,812]","[832,839]"
HyperLink:What is a Microsoft account?.png,HyperLink,What is a Microsoft account?,Hyperlink,False,False,"[633,844]","[866,871]"
TitleBar:.png,TitleBar,,title bar,False,False,"[11,11]","[1490,45]"
Button:Close.png,Button,Close,button,False,False,"[1456,10]","[1491,45]"
Pane:.png,Pane,,pane,False,True,"[32,58]","[1468,790]"
Pane:.png,Pane,,Pane,False,True,"[32,58]","[1468,790]"
Pane:.png,Pane,,Pane,False,True,"[32,113]","[242,790]"
List:File.png,List,File,List,False,True,"[32,113]","[242,790]"
ListItem:Home.png,ListItem,Home,List Item,False,True,"[32,181]","[242,242]"
ListItem:New.png,ListItem,New,List Item,False,True,"[32,242]","[242,303]"
ListItem:Open.png,ListItem,Open,List Item,False,True,"[32,303]","[242,364]"
ListItem:Account.png,ListItem,Account,List Item,False,True,"[32,583]","[242,644]"
ListItem:Feedback.png,ListItem,Feedback,List Item,False,True,"[32,644]","[242,705]"
ListItem:Options.png,ListItem,Options,List Item,False,True,"[32,705]","[242,766]"
TitleBar:Word.png,TitleBar,Word,Title Bar,False,True,"[242,58]","[1023,109]"
HyperLink:Sign in.png,HyperLink,Sign in,Hyperlink,False,True,"[1023,66]","[1081,97]"
Button:Help.png,Button,Help,Button,False,True,"[1192,58]","[1261,105]"
Button:Minimize.png,Button,Minimize,Button,False,True,"[1261,58]","[1330,105]"
Button:Maximize.png,Button,Maximize,Button,False,True,"[1330,58]","[1399,105]"
Button:Close.png,Button,Close,Button,False,True,"[1399,58]","[1468,105]"
Pane:Backstage view.png,Pane,Backstage view,Pane,False,True,"[242,114]","[1468,790]"
Group:Home.png,Group,Home,Group,False,True,"[242,114]","[1468,790]"
Pane:.png,Pane,,Pane,False,True,"[242,114]","[1468,183]"
Text:Good afternoon.png,Text,Good afternoon,Text,False,True,"[302,125]","[538,170]"
