filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window:Word.png,Window,Word,window,False,False,"[0,0]","[1942,1042]"
Window:Word Options.png,Window,Word Options,window,False,False,"[341,11]","[1601,1031]"
Pane:.png,Pane,,Pane,False,False,"[343,56]","[1599,1029]"
Group:Word Options.png,Group,Word Options,Group,False,False,"[343,56]","[1599,1029]"
List:Categories.png,List,Categories,List,False,False,"[352,67]","[555,976]"
ListItem:General.png,ListItem,General,List Item,False,False,"[353,68]","[554,109]"
ListItem:Display.png,ListItem,Display,List Item,False,False,"[353,109]","[554,150]"
ListItem:Proofing.png,ListItem,Proofing,List Item,False,False,"[353,150]","[554,191]"
ListItem:Save.png,ListItem,Save,List Item,False,False,"[353,191]","[554,232]"
ListItem:Language.png,ListItem,Language,List Item,False,False,"[353,232]","[554,273]"
ListItem:Ease of Access.png,ListItem,Ease of Access,List Item,False,False,"[353,273]","[554,314]"
ListItem:Advanced.png,ListItem,Advanced,List Item,False,False,"[353,314]","[554,358]"
ListItem:Customize Ribbon.png,ListItem,Customize Ribbon,List Item,False,False,"[353,358]","[554,399]"
ListItem:Quick Access Toolbar.png,ListItem,Quick Access Toolbar,List Item,False,False,"[353,399]","[554,443]"
ListItem:Add-ins.png,ListItem,Add-ins,List Item,False,False,"[353,443]","[554,484]"
ListItem:Trust Center.png,ListItem,Trust Center,List Item,False,False,"[353,484]","[554,525]"
Pane:Display.png,Pane,Display,Pane,False,False,"[564,67]","[1590,976]"
Text:Change how document content is displayed on the screen and when printed..png,Text,Change how document content is displayed on the screen and when printed.,Text,False,False,"[651,72]","[1589,128]"
Text:Page display options.png,Text,Page display options,Text,False,False,"[584,151]","[1570,188]"
Group:Page display options.png,Group,Page display options,Group,False,False,"[584,202]","[1570,305]"
CheckBox:Show white space between pages in Print Layout view.png,CheckBox,Show white space between pages in Print Layout view,CheckBox,False,False,"[603,202]","[1059,233]"
CheckBox:Show highlighter marks.png,CheckBox,Show highlighter marks,CheckBox,False,False,"[603,238]","[822,269]"
