filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Calculator.png,Window,Calculator,window,False,False,"[69,197]","[551,997]"
Window-Pop-upHost.png,Window,Pop-upHost,window,False,True,"[70,192]","[287,689]"
Window-Pop-up.png,Window,Pop-up,window,False,True,"[70,0]","[1990,1020]"
Button-Close.png,Button,Close,button,False,False,"[70,0]","[1990,1020]"
ComboBox-Input unit.png,ComboBox,Input unit,combo box,False,True,"[70,390]","[245,438]"
ListItem-Square millimetres.png,ListItem,Square millimetres,list item,False,False,"[72,194]","[285,243]"
Text-Square millimetres.png,Text,Square millimetres,text,False,False,"[89,201]","[268,229]"
ListItem-Square centimetres.png,ListItem,Square centimetres,list item,False,False,"[72,243]","[285,292]"
Text-Square centimetres.png,Text,Square centimetres,text,False,False,"[89,250]","[268,278]"
ListItem-Square metres.png,ListItem,Square metres,list item,False,False,"[72,292]","[285,340]"
Text-Square metres.png,Text,Square metres,text,False,False,"[89,300]","[268,327]"
ListItem-Hectares.png,ListItem,Hectares,list item,False,False,"[72,341]","[285,390]"
Text-Hectares.png,Text,Hectares,text,False,False,"[89,349]","[268,377]"
ListItem-Square kilometres.png,ListItem,Square kilometres,list item,False,False,"[72,390]","[285,439]"
Text-Square kilometres.png,Text,Square kilometres,text,False,False,"[89,398]","[268,426]"
ListItem-Square inches.png,ListItem,Square inches,list item,False,False,"[72,438]","[285,487]"
Text-Square inches.png,Text,Square inches,text,False,False,"[89,446]","[268,474]"
ListItem-Square feet.png,ListItem,Square feet,list item,False,False,"[72,488]","[285,537]"
Text-Square feet.png,Text,Square feet,text,False,False,"[89,496]","[268,524]"
ListItem-Square yards.png,ListItem,Square yards,list item,False,False,"[72,537]","[285,586]"
Text-Square yards.png,Text,Square yards,text,False,False,"[89,545]","[268,573]"
ListItem-Acres.png,ListItem,Acres,list item,False,False,"[72,586]","[285,634]"
Text-Acres.png,Text,Acres,text,False,False,"[89,594]","[268,621]"
ListItem-Square miles.png,ListItem,Square miles,list item,False,False,"[72,635]","[285,684]"
Text-Square miles.png,Text,Square miles,text,False,False,"[89,643]","[268,670]"
Button-Close.png,Button,Close,button,False,False,"[70,0]","[1990,1020]"
Text-Converts into 0 Square metres.png,Text,Converts into 0 Square metres,text,False,False,"[70,438]","[133,522]"
ComboBox-Output unit.png,ComboBox,Output unit,combo box,False,True,"[70,522]","[273,570]"
ListItem-Square metres.png,ListItem,Square metres,list item,False,False,"[70,522]","[225,570]"
Text-Square metres.png,Text,Square metres,text,False,False,"[70,522]","[225,570]"
Group-Display controls.png,Group,Display controls,group,False,True,"[234,644]","[544,711]"
Button-Clear entry.png,Button,Clear entry,button,False,False,"[234,644]","[387,711]"
Button-Backspace.png,Button,Backspace,button,False,False,"[390,644]","[544,711]"
Group-Number pad.png,Group,Number pad,group,False,True,"[77,714]","[544,991]"
Button-Zero.png,Button,Zero,button,False,False,"[233,924]","[387,991]"
Button-One.png,Button,One,button,False,False,"[77,854]","[231,921]"
Button-Two.png,Button,Two,button,False,False,"[233,854]","[387,921]"
Button-Three.png,Button,Three,button,False,False,"[390,854]","[544,921]"
Button-Four.png,Button,Four,button,False,False,"[77,784]","[231,851]"
Button-Five.png,Button,Five,button,False,False,"[233,784]","[387,851]"
Button-Six.png,Button,Six,button,False,False,"[390,784]","[544,851]"
Button-Seven.png,Button,Seven,button,False,False,"[77,714]","[231,781]"
Button-Eight.png,Button,Eight,button,False,False,"[233,714]","[387,781]"
Button-Nine.png,Button,Nine,button,False,False,"[390,714]","[544,781]"
Button-Decimal Separator.png,Button,Decimal Separator,button,False,False,"[390,924]","[544,991]"
Window-Calculator.png,Window,Calculator,,False,True,"[268,198]","[550,246]"
MenuBar-System.png,MenuBar,System,menu bar,False,True,"[0,149]","[0,149]"
MenuItem-System.png,MenuItem,System,menu item,False,True,"[0,149]","[0,149]"
Button-Minimise Calculator.png,Button,Minimise Calculator,button,False,True,"[343,198]","[412,246]"
Button-Maximise Calculator.png,Button,Maximise Calculator,button,False,True,"[412,198]","[481,246]"
Button-Close Calculator.png,Button,Close Calculator,button,False,True,"[481,198]","[550,246]"
Window-Calculator.png,Window,Calculator,window,False,True,"[70,198]","[550,996]"
Text-Calculator.png,Text,Calculator,text,False,True,"[88,210]","[167,234]"
Group-.png,Group,,group,False,True,"[70,306]","[544,991]"
ProgressBar-Not busy….png,ProgressBar,Not busy…,progress ring,True,True,"[0,149]","[0,149]"
Text-Convert from 0 Square feet.png,Text,Convert from 0 Square feet,text,False,True,"[70,306]","[135,390]"
ComboBox-Input unit.png,ComboBox,Input unit,combo box,False,True,"[70,390]","[245,438]"
ListItem-Square millimetres.png,ListItem,Square millimetres,list item,False,False,"[72,194]","[285,243]"
Text-Square millimetres.png,Text,Square millimetres,text,False,False,"[89,201]","[268,229]"
