filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window:XnConvert.png,Window,XnConvert,window,False,False,"[310,110]","[1592,876]"
Window:Hot folders.png,Window,Hot folders,window,False,False,"[730,302]","[1155,694]"
TitleBar:.png,TitleBar,,title bar,False,False,"[755,305]","[1154,347]"
MenuBar:System.png,MenuBar,System,menu bar,True,False,"[487,209]","[509,231]"
MenuItem:System.png,MenuItem,System,menu item,True,False,"[487,209]","[509,231]"
Button:Context help.png,Button,Context help,button,False,False,"[1013,303]","[1084,347]"
Button:Close.png,Button,Close,button,False,False,"[1084,303]","[1155,347]"
Tree:.png,Tree,,tree,False,False,"[742,358]","[1143,567]"
Header:Recursive.png,Header,Recursive,header,False,False,"[743,359]","[837,396]"
Header:Pathname.png,Header,Pathname,header,False,False,"[837,359]","[1142,396]"
Text:Extensions.png,Text,Extensions,text,False,False,"[742,573]","[817,601]"
Edit:.png,Edit,,edit,False,False,"[823,573]","[1143,601]"
Button:Add folder....png,Button,Add folder...,button,False,False,"[742,607]","[854,641]"
Button:Remove.png,Button,Remove,button,False,False,"[860,607]","[972,642]"
Group:.png,Group,,group,False,False,"[742,648]","[1143,682]"
Button:OK.png,Button,OK,button,False,False,"[910,648]","[1022,682]"
Button:Cancel.png,Button,Cancel,button,False,False,"[1031,648]","[1143,682]"
TitleBar:.png,TitleBar,,title bar,False,False,"[335,113]","[1591,155]"
MenuBar:System.png,MenuBar,System,menu bar,True,False,"[207,81]","[229,103]"
MenuItem:System.png,MenuItem,System,menu item,True,False,"[207,81]","[229,103]"
Button:Minimise.png,Button,Minimise,button,False,False,"[1380,111]","[1451,155]"
Button:Maximise.png,Button,Maximise,button,False,False,"[1451,111]","[1521,155]"
Button:Close.png,Button,Close,button,False,False,"[1521,111]","[1592,155]"
Group:.png,Group,,group,False,True,"[311,155]","[1591,875]"
Group:.png,Group,,group,False,True,"[322,166]","[1580,819]"
Custom:.png,Custom,,custom,False,True,"[324,194]","[1576,815]"
Group:.png,Group,,group,False,True,"[324,194]","[1576,815]"
Group:.png,Group,,group,False,True,"[335,205]","[1565,724]"
Text:View as:.png,Text,View as:,text,False,False,"[348,218]","[408,241]"
RadioButton:Small thumbnails.png,RadioButton,Small thumbnails,radio button,False,False,"[417,218]","[571,241]"
RadioButton:Thumbnails.png,RadioButton,Thumbnails,radio button,False,False,"[581,218]","[696,241]"
RadioButton:Big thumbnails.png,RadioButton,Big thumbnails,radio button,False,False,"[706,218]","[843,241]"
RadioButton:List.png,RadioButton,List,radio button,False,False,"[853,218]","[909,241]"
Text:You can drag&drop your files on the list below..png,Text,You can drag&drop your files on the list below.,text,False,False,"[348,250]","[1552,269]"
Custom:.png,Custom,,custom,False,True,"[348,278]","[1552,667]"
Group:.png,Group,,group,False,True,"[348,278]","[1552,667]"
Custom:.png,Custom,,custom,False,True,"[361,291]","[1539,654]"
List:.png,List,,list,False,True,"[361,291]","[1539,654]"
Tree:.png,Tree,,tree,False,True,"[0,0]","[0,0]"
Button:Add files....png,Button,Add files...,button,False,False,"[348,676]","[464,711]"
Button:Add folder....png,Button,Add folder...,button,False,False,"[473,676]","[585,710]"
Button:Remove.png,Button,Remove,button,False,False,"[1319,676]","[1431,711]"
Button:Remove all.png,Button,Remove all,button,False,False,"[1440,676]","[1552,710]"
Button:Remove filtered.png,Button,Remove filtered,button,False,False,"[1297,730]","[1419,764]"
Button:Remove unfiltered.png,Button,Remove unfiltered,button,False,False,"[1425,730]","[1565,764]"
Edit:.png,Edit,,edit,False,False,"[813,733]","[1291,761]"
Button:Hot folders....png,Button,Hot folders...,button,False,False,"[335,770]","[447,804]"
Tab:Input: 0 file(s).png,Tab,Input: 0 file(s),tab,False,False,"[322,166]","[925,193]"
TabItem:Input: 0 file(s).png,TabItem,Input: 0 file(s),tab item,False,False,"[322,166]","[461,193]"
TabItem:Actions [0/0].png,TabItem,Actions [0/0],tab item,False,False,"[461,166]","[590,193]"
TabItem:Output.png,TabItem,Output,tab item,False,False,"[590,166]","[675,193]"
TabItem:Status.png,TabItem,Status,tab item,False,False,"[675,166]","[754,193]"
TabItem:Settings.png,TabItem,Settings,tab item,False,False,"[754,166]","[846,193]"
TabItem:About.png,TabItem,About,tab item,False,False,"[846,166]","[925,193]"
Custom:.png,Custom,,custom,False,False,"[322,825]","[921,864]"
Text:Presets:.png,Text,Presets:,text,False,False,"[324,827]","[380,862]"
Button:.png,Button,,button,False,False,"[386,829]","[417,859]"
ComboBox:.png,ComboBox,,combo box,False,False,"[423,832]","[603,857]"
List:.png,List,,list,False,True,"[0,0]","[0,0]"
Button:.png,Button,,button,False,False,"[609,829]","[640,859]"
Button:.png,Button,,button,False,False,"[646,829]","[677,859]"
Button:Export for NConvert....png,Button,Export for NConvert...,button,False,False,"[723,827]","[919,862]"
Group:.png,Group,,group,False,False,"[1102,825]","[1170,864]"
Button:....png,Button,...,button,False,False,"[1102,829]","[1133,859]"
Button:....png,Button,...,button,False,False,"[1139,829]","[1170,859]"
Button:Convert.png,Button,Convert,button,False,False,"[1350,827]","[1462,862]"
Button:Close.png,Button,Close,button,False,False,"[1468,827]","[1580,861]"
