filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window:Calculator.png,Window,Calculator,window,False,False,"[69,48]","[551,848]"
Window:Calculator.png,Window,Calculator,,False,False,"[268,49]","[550,97]"
MenuBar:System.png,MenuBar,System,menu bar,False,True,"[0,0]","[0,0]"
MenuItem:System.png,MenuItem,System,menu item,False,True,"[0,0]","[0,0]"
Button:Minimise Calculator.png,Button,Minimise Calculator,button,False,True,"[343,49]","[412,97]"
Button:Maximise Calculator.png,Button,Maximise Calculator,button,False,True,"[412,49]","[481,97]"
Button:Close Calculator.png,Button,Close Calculator,button,False,True,"[481,49]","[550,97]"
Window:Calculator.png,Window,Calculator,window,False,False,"[70,49]","[550,847]"
Window:Pop-up.png,Window,Pop-up,window,True,True,"[0,0]","[0,0]"
Pane:.png,Pane,,pane,False,True,"[70,241]","[550,776]"
Calendar:.png,Calendar,,calendar,False,True,"[72,261]","[548,756]"
Button:‎2021.png,Button,‎2021,button,False,False,"[90,261]","[412,321]"
Button:Previous.png,Button,Previous,button,False,False,"[414,263]","[479,320]"
Button:Next.png,Button,Next,button,False,False,"[482,263]","[546,320]"
Pane:.png,Pane,,pane,False,True,"[72,321]","[548,756]"
Button:January.png,Button,January,button,False,False,"[73,322]","[189,427]"
Button:February.png,Button,February,button,False,False,"[192,322]","[307,427]"
Button:March.png,Button,March,button,False,False,"[311,322]","[427,427]"
Button:April.png,Button,April,button,False,False,"[430,322]","[546,427]"
Button:May.png,Button,May,button,False,False,"[73,431]","[189,536]"
Button:June.png,Button,June,button,False,False,"[192,431]","[307,536]"
Button:July.png,Button,July,button,False,False,"[311,431]","[427,536]"
Button:August.png,Button,August,button,False,False,"[430,431]","[546,536]"
Button:September.png,Button,September,button,False,False,"[73,539]","[189,644]"
Button:October.png,Button,October,button,False,False,"[192,539]","[307,644]"
Button:November.png,Button,November,button,False,False,"[311,539]","[427,644]"
Button:December.png,Button,December,button,False,False,"[430,539]","[546,644]"
Button:January.png,Button,January,button,False,False,"[73,648]","[189,753]"
Button:February.png,Button,February,button,False,False,"[192,648]","[307,753]"
Button:March.png,Button,March,button,False,False,"[311,648]","[427,753]"
Button:April.png,Button,April,button,False,False,"[430,648]","[546,753]"
Button:Close.png,Button,Close,button,False,True,"[70,49]","[550,847]"
Text:Calculator.png,Text,Calculator,text,False,False,"[88,61]","[167,85]"
Group:.png,Group,,group,False,True,"[88,175]","[532,535]"
ComboBox:Calculation mode.png,ComboBox,Calculation mode,combo box,False,False,"[88,175]","[379,205]"
ListItem:Difference between dates.png,ListItem,Difference between dates,list item,False,False,"[88,175]","[331,205]"
Text:Difference between dates.png,Text,Difference between dates,text,False,False,"[88,175]","[331,205]"
Button:From.png,Button,From,calendar date picker,False,True,"[88,231]","[252,313]"
Text:From.png,Text,From,text,False,False,"[88,231]","[136,259]"
Text:‎29‎ ‎July‎ ‎2021.png,Text,‎29‎ ‎July‎ ‎2021,text,False,True,"[88,273]","[204,303]"
Button:To.png,Button,To,calendar date picker,False,True,"[88,349]","[252,431]"
Text:To.png,Text,To,text,False,True,"[88,349]","[110,377]"
Text:‎29‎ ‎July‎ ‎2021.png,Text,‎29‎ ‎July‎ ‎2021,text,False,True,"[88,391]","[204,422]"
Text:Difference.png,Text,Difference,text,False,True,"[88,467]","[532,494]"
Text:Difference Same dates.png,Text,Difference Same dates,text,False,True,"[88,494]","[532,534]"
Text:Date calculation mode.png,Text,Date calculation mode,text,False,False,"[142,105]","[366,145]"
Custom:.png,Custom,,custom,False,True,"[70,97]","[550,847]"
Button:Open Navigation.png,Button,Open Navigation,button,False,False,"[70,97]","[130,157]"
Text:.png,Text,,text,True,True,"[0,0]","[0,0]"
Pane:.png,Pane,,pane,False,True,"[70,97]","[550,847]"
