filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-XnConvert.png,Window,XnConvert,window,False,False,"[310,110]","[1592,876]"
TitleBar-.png,TitleBar,,title bar,False,True,"[335,113]","[1591,155]"
MenuBar-System.png,MenuBar,System,menu bar,True,False,"[207,81]","[229,103]"
MenuItem-System.png,MenuItem,System,menu item,True,False,"[207,81]","[229,103]"
Button-Minimise.png,Button,Minimise,button,False,False,"[1380,111]","[1451,155]"
Button-Maximise.png,Button,Maximise,button,False,False,"[1451,111]","[1521,155]"
Button-Close.png,Button,Close,button,False,False,"[1521,111]","[1592,155]"
Group-.png,Group,,group,False,False,"[311,155]","[1591,875]"
Group-.png,Group,,group,False,False,"[322,166]","[1580,819]"
Custom-.png,Custom,,custom,False,False,"[324,194]","[1576,815]"
Group-.png,Group,,group,False,False,"[324,194]","[1576,815]"
Group-.png,Group,,group,False,False,"[335,205]","[988,374]"
Text-Language.png,Text,Language,text,False,False,"[347,217]","[415,247]"
ComboBox-.png,ComboBox,,combo box,False,False,"[421,217]","[976,247]"
List-.png,List,,list,False,True,"[0,0]","[0,0]"
ListItem-<Autodetect>.png,ListItem,<Autodetect>,list item,False,False,"[0,0]","[614,19]"
ListItem-English (en).png,ListItem,English (en),list item,False,False,"[0,19]","[614,38]"
ListItem-Català [ca] Antoni Clavell.png,ListItem,Català [ca] Antoni Clavell,list item,False,False,"[0,38]","[614,57]"
ListItem-Čeština [cs] Richard Gabriel.png,ListItem,Čeština [cs] Richard Gabriel,list item,False,False,"[0,57]","[614,76]"
ListItem-Dansk [da] Rejmond Jensen.png,ListItem,Dansk [da] Rejmond Jensen,list item,False,False,"[0,76]","[614,95]"
ListItem-Deutsch [de] Helmut Müller.png,ListItem,Deutsch [de] Helmut Müller,list item,False,False,"[0,95]","[614,114]"
ListItem-Español [es] Javier Mayoral (jamaro).png,ListItem,Español [es] Javier Mayoral (jamaro),list item,False,False,"[0,114]","[614,133]"
ListItem-et.png,ListItem,et,list item,False,False,"[0,133]","[614,152]"
ListItem-Suomi [fi] SeppoK.png,ListItem,Suomi [fi] SeppoK,list item,False,False,"[0,152]","[614,171]"
ListItem-Français [fr] Pierre-e Gougelet.png,ListItem,Français [fr] Pierre-e Gougelet,list item,False,False,"[0,171]","[614,190]"
ListItem-Magyar [hu] Nagy Ferenc.png,ListItem,Magyar [hu] Nagy Ferenc,list item,False,False,"[0,190]","[614,209]"
ListItem-Armenian [hy] Հրանտ Օհանյան »» http://haysoft.org.png,ListItem,Armenian [hy] Հրանտ Օհանյան »» http://haysoft.org,list item,False,False,"[0,209]","[614,228]"
ListItem-Italiano [it] Armando R. La Mura.png,ListItem,Italiano [it] Armando R. La Mura,list item,False,False,"[0,228]","[614,247]"
ListItem-日本語 [ja] Sato Kazuyuki.png,ListItem,日本語 [ja] Sato Kazuyuki,list item,False,False,"[0,247]","[614,266]"
ListItem-한국어 [ko] NamPro (KOREA).png,ListItem,한국어 [ko] NamPro (KOREA),list item,False,False,"[0,266]","[614,287]"
ListItem-Norsk [nb] Imre Kristoffer Eilertsen.png,ListItem,Norsk [nb] Imre Kristoffer Eilertsen,list item,False,False,"[0,287]","[614,306]"
"ListItem-Nederlands [nl]  - Stephan Paternotte, Ebel Geertsema.png",ListItem,"Nederlands [nl]  - Stephan Paternotte, Ebel Geertsema",list item,False,False,"[0,306]","[614,325]"
ListItem-polski [pl] Skiff.png,ListItem,polski [pl] Skiff,list item,False,False,"[0,325]","[614,344]"
ListItem-Português - Europeu [pt] o seu nome.png,ListItem,Português - Europeu [pt] o seu nome,list item,False,False,"[0,344]","[614,363]"
ListItem-Português do Brasil [pt_BR] Elias do Carmo Corrêdo.png,ListItem,Português do Brasil [pt_BR] Elias do Carmo Corrêdo,list item,False,False,"[0,363]","[614,382]"
ListItem-Русский [ru] Сухоруков Сергей.png,ListItem,Русский [ru] Сухоруков Сергей,list item,False,False,"[0,382]","[614,401]"
ListItem-Slovenský [sk] Tibor Kozma.png,ListItem,Slovenský [sk] Tibor Kozma,list item,False,False,"[0,401]","[614,420]"
ListItem-sl.png,ListItem,sl,list item,False,False,"[0,420]","[614,439]"
"ListItem-Svenska [sv] Martin Trokenheim, Åke Engelbrektson 2019.png",ListItem,"Svenska [sv] Martin Trokenheim, Åke Engelbrektson 2019",list item,False,False,"[0,439]","[614,458]"
"ListItem-Türkçe [tr] adınız: Mehmet Keçeci, İbrahim Halil Kutluay, Adem Mavili.png",ListItem,"Türkçe [tr] adınız: Mehmet Keçeci, İbrahim Halil Kutluay, Adem Mavili",list item,False,False,"[0,458]","[614,477]"
ListItem-繁體中文(台灣) [tw] Scott Chu @ Taiwan.png,ListItem,繁體中文(台灣) [tw] Scott Chu @ Taiwan,list item,False,False,"[0,477]","[614,496]"
Text-Check for program updates.png,Text,Check for program updates,text,False,False,"[347,253]","[540,278]"
ComboBox-.png,ComboBox,,combo box,False,True,"[546,253]","[637,278]"
List-.png,List,,list,False,True,"[0,0]","[0,0]"
ListItem-Never.png,ListItem,Never,list item,False,False,"[0,0]","[640,19]"
ListItem-Daily.png,ListItem,Daily,list item,False,False,"[0,19]","[640,38]"
ListItem-Weekly.png,ListItem,Weekly,list item,False,False,"[0,38]","[640,57]"
ListItem-Monthly.png,ListItem,Monthly,list item,False,False,"[0,57]","[640,76]"
CheckBox-Load last script used at startup.png,CheckBox,Load last script used at startup,checkbox,False,True,"[347,284]","[594,307]"
