filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window:Untitled - Paint.png,Window,Untitled - Paint,window,False,False,"[0,2]","[1516,856]"
Pane:UIRibbonDockTop.png,Pane,UIRibbonDockTop,pane,False,False,"[1,47]","[1515,220]"
Pane:Ribbon.png,Pane,Ribbon,pane,False,False,"[1,47]","[1515,220]"
Pane:Ribbon.png,Pane,Ribbon,pane,False,False,"[1,47]","[1515,220]"
Pane:.png,Pane,,pane,False,True,"[1,47]","[1515,267]"
Pane:Ribbon.png,Pane,Ribbon,pane,False,True,"[1,0]","[1515,220]"
ToolBar:Quick Access Toolbar.png,ToolBar,Quick Access Toolbar,tool bar,False,False,"[54,8]","[182,40]"
Button:Save.png,Button,Save,button,False,False,"[54,6]","[86,40]"
Button:Undo.png,Button,Undo,button,False,False,"[86,6]","[118,40]"
Button:Redo.png,Button,Redo,button,False,False,"[118,6]","[150,40]"
Button:Print.png,Button,Print,button,False,False,"[150,6]","[182,40]"
Button:Customise Quick Access Toolbar.png,Button,Customise Quick Access Toolbar,button,False,False,"[183,8]","[202,41]"
Button:File tab.png,Button,File tab,button,False,False,"[1,47]","[85,81]"
Tab:Ribbon tabs.png,Tab,Ribbon tabs,tab,False,False,"[85,47]","[1451,81]"
Custom:.png,Custom,,,False,False,"[85,47]","[1451,81]"
TabItem:Home.png,TabItem,Home,tab item,False,False,"[85,47]","[167,81]"
TabItem:View.png,TabItem,View,tab item,False,False,"[168,47]","[242,81]"
Button:Minimise the Ribbon.png,Button,Minimise the Ribbon,button,False,False,"[1451,48]","[1483,80]"
Button:Help.png,Button,Help,button,False,False,"[1483,48]","[1515,80]"
Pane:Lower Ribbon.png,Pane,Lower Ribbon,pane,False,False,"[1,81]","[1515,220]"
Custom:.png,Custom,,,False,False,"[1,81]","[1515,220]"
Custom:View.png,Custom,View,,False,False,"[1,81]","[1515,220]"
ToolBar:Zoom.png,ToolBar,Zoom,tool bar,False,False,"[7,85]","[206,219]"
Button:Zoom in.png,Button,Zoom in,button,False,False,"[10,88]","[72,187]"
Button:Zoom out.png,Button,Zoom out,button,False,False,"[72,88]","[134,187]"
Button:100%.png,Button,100%,button,False,False,"[134,88]","[196,187]"
ToolBar:Show or hide.png,ToolBar,Show or hide,tool bar,False,False,"[208,85]","[328,219]"
CheckBox:Rulers.png,CheckBox,Rulers,checkbox,False,False,"[211,88]","[293,121]"
CheckBox:Gridlines.png,CheckBox,Gridlines,checkbox,False,False,"[211,121]","[311,154]"
CheckBox:Status bar.png,CheckBox,Status bar,checkbox,False,False,"[211,154]","[318,187]"
ToolBar:Display.png,ToolBar,Display,tool bar,False,False,"[330,85]","[486,219]"
Button:Full screen.png,Button,Full screen,button,False,False,"[333,88]","[395,187]"
Button:Thumbnail.png,Button,Thumbnail,button,False,False,"[395,88]","[476,187]"
Pane:.png,Pane,,pane,False,False,"[1,220]","[1515,816]"
Pane:Using Brush tool on Canvas.png,Pane,Using Brush tool on Canvas,pane,False,False,"[1,220]","[1515,816]"
ScrollBar:Vertical.png,ScrollBar,Vertical,scroll bar,False,False,"[1489,220]","[1515,790]"
Button:Line up.png,Button,Line up,button,False,False,"[1489,220]","[1515,246]"
Thumb:Position.png,Thumb,Position,thumb,False,False,"[1489,246]","[1515,472]"
Button:Page down.png,Button,Page down,button,False,False,"[1489,472]","[1515,764]"
Button:Line down.png,Button,Line down,button,False,False,"[1489,764]","[1515,790]"
ScrollBar:Horizontal.png,ScrollBar,Horizontal,scroll bar,False,False,"[1,790]","[1489,816]"
Button:Column left.png,Button,Column left,button,False,False,"[1,790]","[27,816]"
Thumb:Position.png,Thumb,Position,thumb,False,False,"[27,790]","[950,816]"
Button:Page right.png,Button,Page right,button,False,False,"[950,790]","[1463,816]"
Button:Column right.png,Button,Column right,button,False,False,"[1463,790]","[1489,816]"
Thumb:.png,Thumb,,thumb,False,False,"[1489,790]","[1515,816]"
Pane:.png,Pane,,pane,False,True,"[1,2]","[1515,220]"
StatusBar:.png,StatusBar,,status bar,False,False,"[1,816]","[1515,855]"
Pane:.png,Pane,,pane,False,False,"[1201,819]","[1486,854]"
Text:200%.png,Text,200%,text,False,False,"[1204,819]","[1264,854]"
Button:Zoom out.png,Button,Zoom out,button,False,False,"[1270,819]","[1303,854]"
Slider:Zoom slider.png,Slider,Zoom slider,slider,False,False,"[1303,819]","[1453,854]"
Button:Page left.png,Button,Page left,button,False,False,"[1314,831]","[1377,837]"
Thumb:Position.png,Thumb,Position,thumb,False,False,"[1377,821]","[1394,850]"
Button:Page right.png,Button,Page right,button,False,False,"[1394,831]","[1442,837]"
Button:Zoom in.png,Button,Zoom in,button,False,False,"[1453,819]","[1486,854]"
Text:.png,Text,,text,False,False,"[1,818]","[246,855]"
Text:.png,Text,,text,False,False,"[248,818]","[491,855]"
Text:1152 × 648‏px.png,Text,1152 × 648‏px,text,False,False,"[493,818]","[736,855]"
Text:.png,Text,,text,False,False,"[738,818]","[981,855]"
Text:.png,Text,,text,False,False,"[983,818]","[1194,855]"
Text:.png,Text,,text,False,True,"[1196,818]","[1491,855]"
TitleBar:.png,TitleBar,,title bar,False,True,"[25,5]","[1515,50]"
MenuBar:System.png,MenuBar,System,menu bar,False,False,"[1,13]","[34,46]"
MenuItem:System.png,MenuItem,System,menu item,False,False,"[1,13]","[34,46]"
Button:Minimise.png,Button,Minimise,button,False,False,"[1304,3]","[1375,47]"
Button:Maximise.png,Button,Maximise,button,False,False,"[1375,3]","[1445,47]"
Button:Close.png,Button,Close,button,False,False,"[1445,3]","[1516,47]"
