filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-XnConvert.png,Window,XnConvert,window,False,False,"[310,110]","[1592,876]"
Window-Export script.png,Window,Export script,dialogue,False,True,"[321,155]","[1261,865]"
Pane-View Slider Control.png,Pane,View Slider Control,pane,False,False,"[1138,0]","[1408,398]"
Slider-Slider.png,Slider,Slider,slider,False,False,"[1150,9]","[1191,392]"
Button-Page up.png,Button,Page up,button,False,False,"[1162,20]","[1168,278]"
Thumb-Position.png,Thumb,Position,thumb,False,False,"[1152,278]","[1181,295]"
Button-Page down.png,Button,Page down,button,False,False,"[1162,295]","[1168,381]"
ToolBar-Extra large icons.png,ToolBar,Extra large icons,tool bar,False,False,"[1202,8]","[1401,53]"
Button-Extra large icons.png,Button,Extra large icons,button,False,False,"[1202,8]","[1401,45]"
ToolBar-Large icons.png,ToolBar,Large icons,tool bar,False,False,"[1202,68]","[1401,113]"
Button-Large icons.png,Button,Large icons,button,False,False,"[1202,68]","[1401,105]"
ToolBar-Medium-sized icons.png,ToolBar,Medium-sized icons,tool bar,False,False,"[1202,111]","[1401,156]"
Button-Medium-sized icons.png,Button,Medium-sized icons,button,False,False,"[1202,111]","[1401,148]"
ToolBar-Small icons.png,ToolBar,Small icons,tool bar,False,False,"[1202,176]","[1401,221]"
Button-Small icons.png,Button,Small icons,button,False,False,"[1202,176]","[1401,213]"
ToolBar-List.png,ToolBar,List,tool bar,False,False,"[1202,221]","[1401,266]"
Button-List.png,Button,List,button,False,False,"[1202,221]","[1401,258]"
ToolBar-Details.png,ToolBar,Details,tool bar,False,False,"[1202,266]","[1401,311]"
Button-Details.png,Button,Details,button,False,False,"[1202,266]","[1401,303]"
ToolBar-Tiles.png,ToolBar,Tiles,tool bar,False,False,"[1202,309]","[1401,354]"
Button-Tiles.png,Button,Tiles,button,False,False,"[1202,309]","[1401,346]"
ToolBar-Content.png,ToolBar,Content,tool bar,False,False,"[1202,353]","[1401,398]"
Button-Content.png,Button,Content,button,False,False,"[1202,353]","[1401,390]"
Pane-.png,Pane,,pane,False,True,"[322,259]","[1260,773]"
ToolBar-Command Module.png,ToolBar,Command Module,tool bar,False,True,"[322,259]","[1260,308]"
Button-&Help.png,Button,&Help,button,False,True,"[1204,262]","[1246,303]"
SplitButton-Views.png,SplitButton,Views,split button,False,True,"[1115,262]","[1192,303]"
Button-View Slider.png,Button,View Slider,button,False,True,"[1156,262]","[1177,303]"
Button-Organise.png,Button,Organise,button,False,False,"[327,262]","[459,303]"
Button-New folder.png,Button,New folder,button,False,False,"[459,262]","[592,303]"
Pane-Control Host.png,Pane,Control Host,pane,False,False,"[322,308]","[556,675]"
Tree-Tree View.png,Tree,Tree View,tree,False,False,"[322,308]","[556,675]"
ScrollBar-Vertical.png,ScrollBar,Vertical,scroll bar,False,False,"[530,308]","[556,675]"
Button-Line up.png,Button,Line up,button,False,False,"[530,308]","[556,334]"
Thumb-Position.png,Thumb,Position,thumb,False,False,"[530,334]","[556,562]"
Button-Page down.png,Button,Page down,button,False,False,"[530,562]","[556,649]"
Button-Line down.png,Button,Line down,button,False,False,"[530,649]","[556,675]"
TreeItem-Quick access.png,TreeItem,Quick access,tree item,False,False,"[385,332]","[489,368]"
TreeItem-Desktop (pinned).png,TreeItem,Desktop (pinned),tree item,False,False,"[397,368]","[468,404]"
TreeItem-Downloads (pinned).png,TreeItem,Downloads (pinned),tree item,False,False,"[397,404]","[491,440]"
