filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Word.png,Window,Word,window,False,False,"[0,0]","[1942,1042]"
Window-Word Options.png,Window,Word Options,window,False,True,"[341,11]","[1601,1031]"
Pane-.png,Pane,,Pane,False,True,"[343,56]","[1599,1029]"
Group-Word Options.png,Group,Word Options,Group,False,True,"[343,56]","[1599,1029]"
List-Categories.png,List,Categories,List,False,True,"[352,67]","[555,976]"
ListItem-General.png,ListItem,General,List Item,False,False,"[353,68]","[554,109]"
ListItem-Display.png,ListItem,Display,List Item,False,False,"[353,109]","[554,150]"
ListItem-Proofing.png,ListItem,Proofing,List Item,False,False,"[353,150]","[554,191]"
ListItem-Save.png,ListItem,Save,List Item,False,False,"[353,191]","[554,232]"
ListItem-Language.png,ListItem,Language,List Item,False,False,"[353,232]","[554,273]"
ListItem-Ease of Access.png,ListItem,Ease of Access,List Item,False,False,"[353,273]","[554,314]"
ListItem-Advanced.png,ListItem,Advanced,List Item,False,False,"[353,314]","[554,358]"
ListItem-Customize Ribbon.png,ListItem,Customize Ribbon,List Item,False,False,"[353,358]","[554,399]"
ListItem-Quick Access Toolbar.png,ListItem,Quick Access Toolbar,List Item,False,False,"[353,399]","[554,443]"
ListItem-Add-ins.png,ListItem,Add-ins,List Item,False,False,"[353,443]","[554,484]"
ListItem-Trust Center.png,ListItem,Trust Center,List Item,False,False,"[353,484]","[554,525]"
Pane-Trust Center.png,Pane,Trust Center,Pane,False,False,"[564,67]","[1590,976]"
Text-Help keep your documents safe and your computer secure and healthy..png,Text,Help keep your documents safe and your computer secure and healthy.,Text,False,False,"[651,72]","[1589,128]"
Text-Security & more.png,Text,Security & more,Text,False,False,"[584,156]","[1570,193]"
Group-Security & more.png,Group,Security & more,Group,False,False,"[584,207]","[1570,283]"
Text-Visit Office.com to learn more about protecting your privacy and security..png,Text,Visit Office.com to learn more about protecting your privacy and security.,Text,False,False,"[603,207]","[1186,251]"
HyperLink-Microsoft Trust Center.png,HyperLink,Microsoft Trust Center,Hyperlink,False,False,"[622,256]","[802,283]"
Text-Microsoft Word Trust Center.png,Text,Microsoft Word Trust Center,Text,False,False,"[584,308]","[1570,345]"
Group-Microsoft Word Trust Center.png,Group,Microsoft Word Trust Center,Group,False,False,"[584,359]","[1570,428]"
Text-The Trust Center contains security and privacy settings. These settings help keep your computer secure. We recommend that you do not change these settings..png,Text,The Trust Center contains security and privacy settings. These settings help keep your computer secure. We recommend that you do not change these settings.,Text,False,False,"[603,359]","[1281,428]"
Button-Trust Center Settings....png,Button,Trust Center Settings...,Button,False,False,"[1368,375]","[1570,412]"
Button-OK.png,Button,OK,Button,False,False,"[1350,981]","[1463,1018]"
Button-Cancel.png,Button,Cancel,Button,False,False,"[1477,981]","[1590,1018]"
Thumb-Size box.png,Thumb,Size box,Thumb,False,False,"[1580,1006]","[1599,1029]"
TitleBar-.png,TitleBar,,title bar,False,False,"[352,22]","[1590,56]"
Button-Context help.png,Button,Context help,button,False,True,"[1523,21]","[1558,56]"
Button-Close.png,Button,Close,button,False,True,"[1556,21]","[1591,56]"
Pane-DropShadowTop.png,Pane,DropShadowTop,pane,False,True,"[11,160]","[1931,169]"
Pane-.png,Pane,,pane,False,True,"[536,160]","[1931,998]"
Pane-MsoDockLeft.png,Pane,MsoDockLeft,pane,False,True,"[11,160]","[536,998]"
ToolBar-.png,ToolBar,,tool bar,False,True,"[11,160]","[536,998]"
Pane-Navigation.png,Pane,Navigation,pane,False,True,"[19,215]","[528,991]"
Pane-.png,Pane,,pane,False,True,"[19,215]","[528,991]"
Pane-.png,Pane,,Pane,False,True,"[19,215]","[528,991]"
Custom-Navigation.png,Custom,Navigation,Custom Control,False,True,"[19,215]","[528,991]"
Edit-Search document.png,Edit,Search document,Edit Box,False,True,"[29,238]","[457,269]"
SplitButton-.png,SplitButton,,SplitButton,False,False,"[457,237]","[511,271]"
Button-.png,Button,,Button,False,False,"[457,237]","[489,271]"
Image-.png,Image,,Image,False,False,"[461,242]","[485,266]"
MenuItem-More Options.png,MenuItem,More Options,Menu Item,False,False,"[489,237]","[511,271]"
Tab-.png,Tab,,Pane,False,True,"[28,289]","[519,334]"
TabItem-Headings.png,TabItem,Headings,Tab Item,False,False,"[28,289]","[125,334]"
TabItem-Pages.png,TabItem,Pages,Tab Item,False,False,"[125,289]","[211,334]"
TabItem-Results.png,TabItem,Results,Tab Item,False,False,"[211,289]","[293,334]"
MenuItem-Task Pane Options.png,MenuItem,Task Pane Options,menu item,False,False,"[419,167]","[467,215]"
Pane-MsoDockTop.png,Pane,MsoDockTop,pane,False,True,"[11,11]","[1931,160]"
ToolBar-.png,ToolBar,,tool bar,False,True,"[11,11]","[1931,160]"
Pane-Ribbon.png,Pane,Ribbon,pane,False,True,"[11,11]","[1931,160]"
Pane-.png,Pane,,pane,False,True,"[11,11]","[1931,160]"
Pane-.png,Pane,,Pane,False,True,"[11,11]","[1931,160]"
Pane-Ribbon.png,Pane,Ribbon,Pane,False,True,"[11,11]","[1931,160]"
TitleBar-Word.png,TitleBar,Word,Title Bar,False,True,"[32,11]","[724,62]"
MenuItem-Type to search and use the up and down arrows keys to navigate.png,MenuItem,Type to search and use the up and down arrows keys to navigate,Menu Item,False,True,"[724,19]","[1242,54]"
Edit-Microsoft search.png,Edit,Microsoft search,Edit Box,False,True,"[776,23]","[1241,51]"
MenuItem-Marko Savic.png,MenuItem,Marko Savic,Menu Item,False,True,"[1468,11]","[1655,62]"
MenuItem-Ribbon Display Options.png,MenuItem,Ribbon Display Options,Menu Item,False,True,"[1655,11]","[1724,62]"
Button-Minimize.png,Button,Minimize,Button,False,True,"[1724,11]","[1793,62]"
Button-Restore Down.png,Button,Restore Down,Button,False,False,"[1793,11]","[1862,62]"
Button-Close.png,Button,Close,Button,False,True,"[1862,11]","[1931,62]"
Button-File Tab.png,Button,File Tab,Button,False,False,"[11,62]","[92,107]"
Tab-Ribbon Tabs.png,Tab,Ribbon Tabs,Pane,False,True,"[93,62]","[1913,107]"
TabItem-Home.png,TabItem,Home,Tab Item,False,False,"[93,66]","[187,104]"
TabItem-Insert.png,TabItem,Insert,Tab Item,False,False,"[188,66]","[279,104]"
TabItem-Design.png,TabItem,Design,Tab Item,False,False,"[280,66]","[381,104]"
TabItem-Layout.png,TabItem,Layout,Tab Item,False,False,"[382,66]","[481,104]"
TabItem-References.png,TabItem,References,Tab Item,False,True,"[482,66]","[619,104]"
TabItem-Mailings.png,TabItem,Mailings,Tab Item,False,True,"[620,66]","[734,104]"
